开放式基金简称,开放式基金代码,UK
新能A,150279,40132000000000d3
新能B,150280,40132000000000d4
金融地A,150281,40132000000000d5
金融地B,150282,40132000000000d6
SW医药A,150283,40132000000000d7
SW医药B,150284,40132000000000d8
钢铁A,150287,40132000000000d9
钢铁B,150288,40132000000000da
煤炭A级,150289,40132000000000db
煤炭B级,150290,40132000000000dc
银行A份,150291,40132000000000dd
银行B份,150292,40132000000000de
高铁A级,150293,40132000000000df
高铁B级,150294,40132000000000e0
改革A,150295,40132000000000e1
改革B,150296,40132000000000e2
互联A级,150297,40132000000000e3
互联B级,150298,40132000000000e4
银行股A,150299,40132000000000e5
银行股B,150300,40132000000000e6
证券股A,150301,40132000000000e7
证券股B,150302,40132000000000e8
创业股A,150303,40132000000000e9
创业股B,150304,40132000000000ea
养老A,150305,40132000000000eb
养老B,150306,40132000000000ec
体育A,150307,40132000000000ed
体育B,150308,40132000000000ee
信息安A,150309,40132000000000ef
信息安B,150310,40132000000000f0
智能A,150311,40132000000000f1
智能B,150312,40132000000000f2
工业4A,150315,40132000000000f3
工业4B,150316,40132000000000f4
E金融A,150317,40132000000000f5
E金融B,150318,40132000000000f6
煤炭A基,150321,40132000000000f7
煤炭B基,150322,40132000000000f8
环保A端,150323,40132000000000f9
环保B端,150324,40132000000000fa
高铁A端,150325,40132000000000fb
高铁B端,150326,40132000000000fc
新能A级,150327,40132000000000fd
新能B级,150328,40132000000000fe
保险A,150329,40132000000000ff
保险B,150330,4013200000000100
网金融A,150331,4013200000000101
网金融B,150332,4013200000000102
军工股A,150335,4013200000000103
军工股B,150336,4013200000000104
证券A基,150343,4013200000000105
证券B基,150344,4013200000000106
富国天惠,161005,4013200000000107
富国天丰,161010,4013200000000108
富国天盈,161015,4013200000000109
富国500,161017,401320000000010a
富国天锋,161019,401320000000010b
智能汽车,161033,401320000000010c
易基岁丰,161115,401320000000010d
易基黄金,161116,401320000000010e
易基永旭,161117,401320000000010f
易基综债,161119,4013200000000110
国投新兴,161210,4013200000000111
国投消费,161213,4013200000000112
双债A,161216,4013200000000113
国投资源,161217,4013200000000114
国投产业,161219,4013200000000115
国投瑞利,161222,4013200000000116
国投丝路,161224,4013200000000117
国投瑞盈,161225,4013200000000118
白银基金,161226,4013200000000119
深证100,161227,401320000000011a
国投中国,161229,401320000000011b
丰利A类,161230,401320000000011c
银河通利,161505,401320000000011d
融通巨潮,161607,401320000000011e
融通领先,161610,401320000000011f
融通添利,161614,4013200000000120
招商成长,161706,4013200000000121
招商信用,161713,4013200000000122
招商金砖,161714,4013200000000123
招商双债,161716,4013200000000124
招商丰泰,161722,4013200000000125
招商增荣,161727,4013200000000126
银华内需,161810,4013200000000127
银华信用,161813,4013200000000128
银华通胀,161815,4013200000000129
银华纯债,161820,401320000000012a
银华50A,161821,401320000000012b
银华永兴,161823,401320000000012c
H股分级,161831,401320000000012d
万家优选,161903,401320000000012e
万家红利,161907,401320000000012f
万家添利,161908,4013200000000130
万家强债,161911,4013200000000131
长信医疗,163001,4013200000000132
长信利鑫,163003,4013200000000133
长信利众,163005,4013200000000134
申万量化,163110,4013200000000135
诺安油气,163208,4013200000000136
诺安纯债,163210,4013200000000137
大摩资源,163302,4013200000000138
兴全趋势,163402,4013200000000139
兴全300,163407,401320000000013a
兴全绿色,163409,401320000000013b
兴全轻资,163412,401320000000013c
兴全模式,163415,401320000000013d
天治核心,163503,401320000000013e
中银中国,163801,401320000000013f
中银信用,163819,4013200000000140
中银300E,163821,4013200000000141
中银盛利,163824,4013200000000142
中银产债,163827,4013200000000143
中海惠裕,163907,4013200000000144
华富强债,164105,4013200000000145
天弘添利,164206,4013200000000146
天弘丰利,164208,4013200000000147
信用增利,164606,4013200000000148
添富贵金,164701,4013200000000149
添富季红,164702,401320000000014a
添富恒生,164705,401320000000014b
工银四季,164808,401320000000014c
工银纯债,164810,401320000000014d
工银增利,164812,401320000000014e
工银双债,164814,401320000000014f
工银资源,164815,4013200000000150
交银添利,164902,4013200000000151
中国互联,164906,4013200000000152
建信300,165309,4013200000000153
建信信用,165311,4013200000000154
建信优势,165313,4013200000000155
信诚深度,165508,4013200000000156
信诚增强,165509,4013200000000157
信诚四国,165510,4013200000000158
信诚机遇,165512,4013200000000159
信诚商品,165513,401320000000015a
信诚周期,165516,401320000000015b
信诚双盈,165517,401320000000015c
诺德双翼,165705,401320000000015d
东吴100,165806,401320000000015e
东吴鼎利,165807,401320000000015f
中欧趋势,166001,4013200000000160
中欧成长,166006,4013200000000161
中欧300,166007,4013200000000162
中欧强债,166008,4013200000000163
中欧动力,166009,4013200000000164
中欧盛世,166011,4013200000000165
中欧信用,166012,4013200000000166
中欧纯债,166016,4013200000000167
信达增利,166105,4013200000000168
浦银增利,166401,4013200000000169
民生增利,166902,401320000000016a
民生添利,166904,401320000000016b
安信宝利,167501,401320000000016c
九泰锐智,168101,401320000000016d
九泰锐富,168102,401320000000016e
东证睿丰,169101,401320000000016f
东证睿阳,169102,4013200000000170
a,,
