挂牌代码,债券全称,上市日期,到期日期,票面利率,UK
122470,15泛海03,2015/10/22,2021/9/21,4.85,402225b500000193
122472,15盛屯债,2015/10/21,2020/9/24,7,402225a900000194
122473,15联发02,2015/12/8,2020/9/24,4.2,402225a900000195
122474,15格房产,2015/11/18,2020/9/24,4.67,402225a900000196
122475,15亿达01,2015/10/30,2020/9/25,6,402225a900000197
122476,15天瑞债,2015/11/12,2020/9/25,5.95,402225a900000198
122477,15月星01,2015/11/17,2020/9/28,5.5,402225a900000199
122478,14粤运01,2015/11/13,2022/9/28,4.2,402225c10000019a
122479,15南铝01,2015/11/3,2020/9/25,4.97,402225a90000019b
122480,15南铝02,2015/11/3,2020/9/25,4.4,402225a90000019c
122481,15铁建01,2015/11/9,2020/9/25,4.02,402225a90000019d
122482,15金茂债,2015/11/4,2020/9/25,6.5,402225a90000019e
122483,15新光01,2015/11/9,2020/9/25,6.5,402225a90000019f
122484,15龙源01,2015/11/13,2020/9/28,3.75,402225a9000001a0
122485,15厦住宅,2015/10/27,2020/10/14,3.99,402225aa000001a1
122486,15旭辉01,2015/11/23,2020/10/14,4.95,402225aa000001a2
122487,15盈德债,2015/11/12,2020/10/13,5.48,402225aa000001a3
122488,15金地01,2015/11/19,2022/10/15,4.18,402225c2000001a4
122489,15西建工,2015/11/16,2020/10/20,4.5,402225aa000001a5
122490,15三福01,2015/11/6,2020/10/19,6.8,402225aa000001a6
122491,15藏城投,2015/11/11,2022/10/15,5,402225c2000001a7
122492,15新光02,2015/12/4,2020/10/22,6.5,402225aa000001a8
122493,14国电03,2015/11/6,2020/10/16,3.87,402225aa000001a9
122494,15华夏05,2015/12/2,2022/10/22,5.1,402225c2000001aa
122495,14亨通02,2015/11/30,2020/10/21,4.44,402225aa000001ab
122496,15世茂02,2015/12/17,2022/10/16,4.15,402225c2000001ac
122497,15远洋04,2015/12/9,2021/10/19,3.85,402225b6000001ad
122498,15远洋05,2015/12/9,2025/10/19,4.76,402225e6000001ae
122499,15哈投01,2015/11/17,2018/10/21,4.5,40222592000001af
122500,PR郴城投,2012/12/3,2019/9/13,7.34,4022259d000001b0
122501,PR寿财资,2012/12/7,2019/10/23,6.7,4022259e000001b1
122502,12哈合力,2013/2/5,2018/9/26,7.48,40222591000001b2
122503,PR并龙城,2012/11/27,2019/9/25,6.5,4022259d000001b3
122504,PR通天诚,2012/11/23,2019/9/24,7.75,4022259d000001b4
122505,PR绍袍江,2013/1/16,2019/10/31,6.9,4022259e000001b5
122506,PR吴交投,2012/11/30,2020/10/31,6.8,402225aa000001b6
122507,PR玉交投,2012/11/20,2019/10/12,7.15,4022259e000001b7
122508,PR兴林业,2013/2/4,2019/10/23,7.08,4022259e000001b8
122509,PR白中兴,2013/3/11,2019/12/18,7,402225a0000001b9
122510,PR靖新城,2012/12/14,2018/10/23,6.8,40222592000001ba
122513,12伟星集,2013/2/1,2019/10/23,6.3,4022259e000001bb
122514,12金融街,2013/2/21,2019/10/22,5.18,4022259e000001bc
122515,PR庆城投,2012/11/26,2019/10/23,6.55,4022259e000001bd
122516,PR青州01,2012/11/23,2019/10/19,7.35,4022259e000001be
122517,PR青州02,2012/11/23,2018/10/19,7.25,40222592000001bf
122518,12保利集,2012/11/28,2019/10/25,5.03,4022259e000001c0
122519,PR锡经开,2012/12/28,2019/11/1,6.99,4022259f000001c1
122520,PR唐城投,2013/1/18,2019/10/16,7.08,4022259e000001c2
122521,PR筑金阳,2013/1/31,2018/10/24,6.7,40222592000001c3
122522,PR兴城建,2013/3/19,2018/10/23,7.25,40222592000001c4
122523,12海亮01,2012/11/29,2018/10/19,6.5,40222592000001c5
122524,12海亮02,2012/11/29,2019/10/19,6.75,4022259e000001c6
122525,PR沪嘉开,2012/12/19,2018/10/10,6.71,40222592000001c7
122526,PR永川惠,2012/12/4,2019/10/16,7.33,4022259e000001c8
122527,PR温国投,2012/11/22,2019/9/18,7.18,4022259d000001c9
122528,12琼港航,2013/7/26,2019/10/18,6.8,4022259e000001ca
122530,PR七城投,2013/2/4,2019/10/18,7.3,4022259e000001cb
122531,PR太科园,2012/12/13,2019/9/17,7.6,4022259d000001cc
122532,PR宜财投,2013/2/4,2019/10/16,7.12,4022259e000001cd
122533,PR平城投,2012/11/30,2019/9/18,7.2,4022259d000001ce
122534,PR秦开发,2012/11/26,2019/10/17,7.46,4022259e000001cf
122535,苏飞暂停,2013/3/27,2018/8/30,6.23,40222590000001d0
122536,PR慈国控,2012/11/15,2019/9/20,6.6,4022259d000001d1
122537,PR克城投,2012/12/31,2019/9/4,7.15,4022259d000001d2
122538,PR榕城乡,2012/11/19,2018/9/25,6.35,40222591000001d3
122539,PR阜城投,2012/11/12,2019/10/10,7.55,4022259e000001d4
122540,PR宁浦口,2012/11/28,2019/10/8,7.1,4022259e000001d5
122541,12宁上陵,2012/11/9,2018/10/16,8.4,40222592000001d6
122542,PR阿信诚,2013/4/3,2018/10/10,7.5,40222592000001d7
122543,12钦开投,2012/11/9,2019/10/16,7.1,4022259e000001d8
122544,PR渝长开,2012/11/7,2019/9/25,7.45,4022259d000001d9
122545,PR蒙高新,2012/10/26,2019/9/25,7.2,4022259d000001da
122546,PR宁高新,2012/11/19,2019/9/7,6.94,4022259d000001db
122547,PR曲靖投,2013/1/4,2019/9/6,7.25,4022259d000001dc
122549,PR邳润城,2012/12/18,2019/9/25,7.55,4022259d000001dd
122550,12苏国信,2012/12/7,2017/6/8,4.6,40222582000001de
122551,PR如东投,2013/1/15,2019/9/24,7.45,4022259d000001df
122552,12新新业,2013/4/8,2019/8/15,6.2,4022259c000001e0
122553,PR虞交通,2012/10/23,2019/9/11,6.7,4022259d000001e1
122554,PR定海债,2012/10/22,2020/8/31,7.25,402225a8000001e2
122555,PR常经投,2013/1/22,2019/9/12,7.19,4022259d000001e3
122556,PR咸宁投,2012/10/24,2018/8/31,7.5,40222590000001e4
122557,PR株高科,2012/10/15,2019/9/10,7.5,4022259d000001e5
122558,12昆交01,2012/10/26,2017/8/17,6.6,40222584000001e6
122559,12昆交02,2012/10/26,2019/8/17,6.95,4022259c000001e7
122560,PR淄城运,2012/10/22,2019/8/22,6.83,4022259c000001e8
122561,PR饶城投,2012/10/23,2019/9/10,7.3,4022259d000001e9
122562,PR伊春债,2012/10/22,2019/7/24,7.35,4022259b000001ea
122563,PR亳州债,2012/10/12,2019/9/4,7.68,4022259d000001eb
122564,PR椒江债,2012/9/28,2020/9/13,7.46,402225a9000001ec
122565,PR邵城投,2013/1/14,2018/9/11,7.4,40222591000001ed
122566,PR库城建,2012/12/5,2018/9/10,7.48,40222591000001ee
122567,PR小清河,2012/10/15,2019/9/5,7.15,4022259d000001ef
122568,PR随州债,2012/9/27,2019/8/22,7.5,4022259c000001f0
122569,PR津生态,2012/9/25,2019/8/14,6.76,4022259c000001f1
122570,12滇水投,2012/12/12,2019/8/27,6.8,4022259c000001f2
122571,PR兴国资,2012/12/3,2019/8/31,6.48,4022259c000001f3
122572,12蓉投控,2012/11/22,2019/9/4,6.3,4022259d000001f4
122573,PR牡国投,2012/11/15,2019/8/30,7.08,4022259c000001f5
122574,PR淮开控,2012/12/19,2019/9/6,7.2,4022259d000001f6
122575,PR肥城债,2012/9/13,2018/8/14,7.1,40222590000001f7
122576,PR内江债,2012/12/5,2018/7/19,7,4022258f000001f8
122577,PR苏相城,2012/12/17,2019/9/3,6.95,4022259d000001f9
122578,12长宁债,2012/9/28,2019/8/16,6.08,4022259c000001fa
122580,PR临安债,2014/7/1,2018/3/9,8.15,4022258b000001fb
122581,PR津南城,2012/12/24,2019/6/18,6.95,4022259a000001fc
122582,PR湘九华,2012/10/12,2019/8/29,7.43,4022259c000001fd
122583,PR遵投债,2012/9/14,2019/3/13,8.53,40222597000001fe
122584,PR松城开,2013/2/4,2019/8/29,7.3,4022259c000001ff
122585,PR新海连,2012/10/12,2020/8/27,7,402225a800000200
122586,PR中交通,2013/1/31,2018/8/28,6.65,4022259000000201
122587,PR遵义债,2012/9/17,2020/8/17,7.15,402225a800000202
122588,PR益城投,2012/10/15,2019/8/24,7.36,4022259c00000203
122589,PR毕信泰,2012/9/26,2019/8/20,7.15,4022259c00000204
122590,PR鹤城债,2012/10/18,2022/6/21,7.05,402225be00000205
122591,12常交债,2012/9/25,2019/8/21,6.8,4022259c00000206
122592,PR乌国资,2012/9/26,2018/4/28,6.48,4022258c00000207
122593,PR衡城投,2012/9/25,2019/8/13,7.06,4022259c00000208
122594,12泉州01,2012/9/18,2018/8/7,7,4022259000000209
122595,12泉州02,2012/9/18,2019/8/7,7.03,4022259c0000020a
122596,12沪城开,2012/9/17,2018/8/21,6.5,402225900000020b
122597,12宝钛债,2012/9/20,2018/8/21,5.4,402225900000020c
122598,PR荆门债,2012/10/12,2022/7/9,6.85,402225bf0000020d
122599,PR梵投债,2012/9/24,2019/8/2,6.89,4022259c0000020e
122600,PR鑫泰债,2012/12/24,2018/8/14,6.85,402225900000020f
122601,PR白山债,2012/8/27,2019/7/31,7,4022259b00000210
122602,PR松城投,2012/9/13,2018/8/15,6.28,4022259000000211
122603,PR穗经开,2012/9/27,2022/8/14,6.7,402225c000000212
122604,12吉铁投,2012/9/20,2019/6/26,6.63,4022259a00000213
122605,PR宁海债,2012/10/12,2017/12/31,8.6,4022258800000214
122606,12顺鑫债,2012/8/30,2017/7/3,5.19,4022258300000215
122607,PR渝地产,2012/8/17,2019/4/25,7.35,4022259800000216
122608,PR西永债,2012/9/11,2019/7/25,6.76,4022259b00000217
122609,PR扬城控,2012/11/6,2019/7/26,6.3,4022259b00000218
122610,PR乐清债,2012/8/16,2019/6/29,6.5,4022259a00000219
122611,PR蓉经01,2012/9/27,2018/7/17,6.5,4022258f0000021a
122612,PR蓉经02,2012/9/27,2019/7/17,6.55,4022259b0000021b
122613,PR乌海债,2012/8/3,2019/3/31,8.2,402225970000021c
122614,PR渝缙债,2012/9/7,2019/6/18,6.75,4022259a0000021d
122615,PR百色债,2012/8/22,2019/7/4,6.5,4022259b0000021e
122616,12黔铁债,2012/8/2,2022/3/27,7.2,402225bb0000021f
122617,PR襄投债,2013/8/2,2019/1/12,8.12,4022259500000220
122618,统众暂停,2012/8/6,2022/4/11,6.95,402225bc00000221
122619,PR迁安债,2012/12/4,2018/7/11,6.45,4022258f00000222
122620,PR乌城投,2012/8/21,2019/7/9,6.35,4022259b00000223
122621,PR赣城债,2012/11/29,2018/7/10,6.4,4022258f00000224
122622,PR锦城债,2012/8/17,2019/6/13,7.08,4022259a00000225
122623,PR旅建债,2012/7/27,2019/7/2,6.78,4022259b00000226
122624,PR滨开债,2012/9/6,2019/7/5,6.5,4022259b00000227
122625,12升华债,2012/9/26,2019/7/2,6.2,4022259b00000228
122626,PR海恒债,2012/9/11,2019/6/12,7.3,4022259a00000229
122627,PR京建工,2012/8/13,2019/7/5,5.95,4022259b0000022a
122628,PR东投债,2012/7/25,2018/7/5,7.39,4022258f0000022b
122629,PR平发债,2012/8/31,2019/5/8,7.86,402225990000022c
122630,PR惠投债,2012/8/6,2019/5/28,6.8,402225990000022d
122631,12晋国电,2012/7/26,2022/5/24,5.38,402225bd0000022e
122632,PR江阴债,2012/7/4,2019/6/11,7.2,4022259a0000022f
122633,PR嘉经债,2012/7/26,2019/6/14,6.78,4022259a00000230
122634,PR芜开01,2012/9/4,2018/6/8,6.7,4022258e00000231
122635,PR芜开02,2012/9/4,2022/6/8,6.9,402225be00000232
122636,PR连发债,2012/9/7,2019/6/19,6.1,4022259a00000233
122637,PR鑫城债,2012/11/2,2019/4/23,7.88,4022259800000234
122638,PR申华信,2012/8/16,2019/6/14,6.95,4022259a00000235
122639,PR绍新城,2012/10/26,2018/6/11,6.21,4022258e00000236
122640,PR仪征债,2012/7/10,2019/6/14,7.78,4022259a00000237
122641,PR武城投,2012/10/18,2018/6/8,6.22,4022258e00000238
122642,PR朝阳债,2012/7/3,2019/5/25,7.3,4022259900000239
122643,12海资债,2012/6/19,2019/5/22,8.51,402225990000023a
122644,PR铁岭债,2012/8/20,2018/5/29,7.34,4022258d0000023b
122645,PR苏园建,2012/12/25,2019/5/30,5.79,402225990000023c
122648,PR宣国投,2012/6/29,2019/3/20,7.99,402225970000023d
122649,PR长建投,2012/8/28,2019/4/6,8.35,402225980000023e
122650,12泰能债,2012/6/4,2018/4/25,6.5,4022258c0000023f
122651,PR广安投,2012/7/11,2019/4/25,8.18,4022259800000240
122652,12杨农债,2012/9/5,2019/5/23,7.6,4022259900000241
122654,昆钢暂停,2012/6/5,2020/4/26,5.78,402225a400000242
122655,PR铜建投,2012/7/9,2022/4/28,8.2,402225bc00000243
122658,PR盘锦债,2012/6/11,2019/5/17,7.5,4022259900000244
122659,12石油06,2012/6/12,2022/4/12,4.5,402225bc00000245
122660,12石油07,2012/6/12,2022/4/12,4.73,402225bc00000246
122661,PR怀化债,2012/6/7,2018/3/22,8,4022258b00000247
122662,PR合桃花,2012/8/2,2019/3/27,8.79,4022259700000248
122663,PR科发债,2013/1/21,2019/5/15,7.16,4022259900000249
122664,12葫芦岛,2012/6/8,2019/3/1,8.47,402225970000024a
122665,PR镇交投,2012/7/3,2019/5/8,7.29,402225990000024b
122666,12国网01,2012/6/15,2022/4/17,4.99,402225bc0000024c
122667,12国网02,2012/6/15,2027/4/17,5.26,402225f80000024d
122668,12凉国投,2012/6/5,2019/4/23,7.58,402225980000024e
122669,PR桂林债,2012/7/24,2018/5/9,6.9,4022258d0000024f
122670,PR新盛债,2012/7/3,2018/5/8,7.48,4022258d00000250
122671,12扬子江,2012/7/10,2019/5/21,7.65,4022259900000251
122672,PR西城投,2012/7/12,2019/4/27,7.7,4022259800000252
122673,12渝李渡,2012/6/26,2019/3/23,8.4,4022259700000253
122674,12渝黔江,2012/6/26,2019/3/23,8.4,4022259700000254
122675,PR杭城投,2012/5/30,2018/4/25,5.9,4022258c00000255
122676,PR滨江债,2012/7/6,2019/4/27,6.85,4022259800000256
122677,PR江宁债,2012/8/6,2019/4/28,7.29,4022259800000257
122678,12扬化工,2012/7/10,2019/4/25,7.75,4022259800000258
122679,PR河套债,2012/6/4,2022/3/31,8.54,402225bb00000259
122680,PR昆建债,2012/5/11,2018/4/13,7.6,4022258c0000025a
122681,PR合农投,2012/5/11,2018/4/10,8.28,4022258c0000025b
122682,PR营口债,2012/8/13,2020/4/18,7.98,402225a40000025c
122683,12春和债,2012/6/11,2018/4/24,7.78,4022258c0000025d
122684,12合高新,2012/5/17,2019/3/22,7.98,402225970000025e
122685,PR吉城投,2012/6/28,2019/4/20,7.8,402225980000025f
122686,12白药债,2012/6/6,2019/3/30,5.6,4022259700000260
122687,PR金坛债,2012/5/24,2019/3/14,8.3,4022259700000261
122688,PR华通债,2012/7/13,2019/4/18,7.3,4022259800000262
122689,PR宿开发,2012/7/2,2019/3/26,7.5,4022259700000263
122690,12三胞债,2012/6/15,2019/3/19,8.08,4022259700000264
122691,PR武清债,2012/5/23,2019/3/27,7.8,4022259700000265
122692,12漳路桥,2012/6/5,2019/3/1,8.2,4022259700000266
122693,PR佳城投,2012/4/27,2019/3/22,8.25,4022259700000267
122694,PR兴荣债,2012/5/10,2019/4/19,8.35,4022259800000268
122695,PR五国投,2012/5/29,2018/3/15,8.6,4022258b00000269
122696,PR丹投债,2012/6/1,2019/3/6,8.1,402225970000026a
122697,11太资债,2012/5/8,2018/12/31,8.25,402225940000026b
122698,12双流01,2012/5/4,2019/3/16,8.4,402225970000026c
122699,12双流02,2012/5/4,2019/3/16,8.48,402225970000026d
122700,12来宾债,2012/4/18,2019/3/14,8.36,402225970000026e
122701,PR余城建,2012/5/17,2019/3/29,7.55,402225970000026f
122702,PR海安债,2012/7/2,2018/3/28,8.35,4022258b00000270
122703,PR鞍城投,2012/5/2,2019/3/5,8.25,4022259700000271
122704,PR江都债,2012/7/4,2019/3/23,8.1,4022259700000272
122705,12苏交通,2012/5/22,2017/3/20,4.9,4022257f00000273
122706,PR海门债,2012/4/26,2019/3/20,8.35,4022259700000274
122707,PR泰兴债,2012/6/18,2018/3/27,8.29,4022258b00000275
122708,PR伊旗债,2012/6/7,2019/3/19,8.35,4022259700000276
122709,12绵阳债,2012/5/29,2019/3/26,7.7,4022259700000277
122710,PR济城建,2012/6/8,2018/3/26,6.98,4022258b00000278
122711,12郑新债,2012/4/24,2019/3/14,8.1,4022259700000279
122712,12中航债,2012/4/26,2019/3/12,5.4,402225970000027a
122713,12冀交通,2012/7/4,2022/3/27,6,402225bb0000027b
122714,PR海陵债,2012/6/5,2019/3/21,8.52,402225970000027c
122715,PR蓉新城,2012/5/17,2019/3/19,8.35,402225970000027d
122716,PR莆田债,2012/6/5,2019/3/21,8.1,402225970000027e
122717,12泉矿债,2012/7/9,2019/3/21,6.7,402225970000027f
122718,12渝南债,2012/4/16,2019/3/23,8.4,4022259700000280
122719,12龙交投,2012/4/26,2022/3/19,8.15,402225bb00000281
122720,PR甬城投,2012/4/17,2018/3/1,7.39,4022258b00000282
122721,PR辽国资,2012/6/1,2019/3/13,8.17,4022259700000283
122722,PR淮水利,2012/3/28,2019/3/8,8.25,4022259700000284
122723,12石油05,2012/4/6,2022/3/15,4.8,402225bb00000285
122724,12攀国投,2012/5/21,2022/3/13,8.18,402225bb00000286
122725,12宿产发,2012/5/25,2018/3/8,6.98,4022258b00000287
122726,PR柳东债,2012/4/19,2019/2/15,8.3,4022259600000288
122727,PR东胜债,2012/4/23,2018/2/28,8.4,4022258a00000289
122728,PR徐经开,2012/5/24,2019/3/7,8.2,402225970000028a
122729,12江泉债,2012/3/29,2019/3/12,8.4,402225970000028b
122730,12晋江债,2012/5/16,2018/2/23,7.88,4022258a0000028c
122731,PR镇经开,2012/5/10,2019/3/1,8.16,402225970000028d
122732,PR九江债,2012/5/2,2019/2/23,8.49,402225960000028e
122733,11京资01,2012/3/16,2016/12/26,5,4022257c0000028f
122734,11京资02,2012/3/16,2021/12/26,5.4,402225b800000290
122735,11六安债,2012/4/19,2018/12/28,8.2,4022259400000291
122736,12石油03,2012/3/9,2019/2/22,4.5,4022259600000292
122737,12石油04,2012/3/9,2027/2/22,5,402225f600000293
122740,12延城投,2012/5/3,2017/2/8,7.05,4022257e00000294
122741,11双鸭山,2012/2/24,2018/12/20,8.36,4022259400000295
122742,12鲁高速,2012/4/16,2022/2/9,5.72,402225ba00000296
122743,PR华发集,2012/3/1,2018/2/16,8.43,4022258a00000297
122744,11本溪债,2012/3/29,2021/12/22,8.38,402225b800000298
122745,12方大01,2012/6/8,2018/2/22,8.09,4022258a00000299
122746,12方大02,2012/6/8,2019/2/22,8.29,402225960000029a
122747,12晋煤运,2012/3/2,2022/1/18,5.94,402225b90000029b
122748,12石油01,2012/2/24,2019/1/11,4.54,402225950000029c
122749,12石油02,2012/2/24,2022/1/11,4.69,402225b90000029d
122750,PR常经营,2012/3/12,2019/1/16,8,402225950000029e
122751,11冀新债,2012/2/8,2018/12/30,7.6,402225940000029f
122752,11大丰港,2012/2/16,2017/11/15,7.98,40222587000002a0
122753,PR姜国资,2013/1/25,2019/12/3,6.85,402225a0000002a1
122754,11通化债,2012/1/20,2021/12/13,8.36,402225b8000002a2
122755,PR潭城建,2012/4/26,2019/3/16,8,40222597000002a3
122756,12甘农垦,2012/2/9,2019/1/6,6.5,40222595000002a4
122757,11丹东债,2012/1/20,2018/12/21,6.65,40222594000002a5
122758,11张保债,2012/2/16,2018/12/15,7.8,40222594000002a6
122759,11泰豪债,2012/2/3,2018/12/27,7.5,40222594000002a7
122760,PR渝富债,2012/9/27,2019/9/4,6.5,4022259d000002a8
122761,PR萧国资,2012/2/21,2016/11/22,6.9,4022257b000002a9
122762,11吴江债,2012/4/19,2018/12/5,8.05,40222594000002aa
122763,11淮产投,2012/2/29,2017/12/30,8.49,40222588000002ab
122764,11泛海01,2012/2/16,2017/12/13,8.8,40222588000002ac
122765,11泛海02,2012/2/16,2021/12/13,8.9,402225b8000002ad
122766,11宜建投,2012/2/17,2019/11/17,8.13,4022259f000002ae
122767,11盐城南,2012/2/20,2018/12/16,8.19,40222594000002af
122768,PR兰城投,2012/2/17,2018/12/15,8.2,40222594000002b0
122769,PR龙海债,2012/1/31,2017/12/2,8.25,40222588000002b1
122770,11国网01,2012/1/20,2021/12/8,5.14,402225b8000002b2
122771,11国网02,2012/1/20,2026/12/8,5.24,402225f4000002b3
122772,11山煤债,2012/2/20,2018/12/6,6.85,40222594000002b4
122773,11滨海01,2012/2/10,2016/11/23,5.6,4022257b000002b5
122774,11滨海02,2012/2/10,2021/11/23,6.1,402225b7000002b6
122775,PR咸城投,2012/2/10,2017/12/9,7.9,40222588000002b7
122776,11新光债,2012/1/20,2018/11/23,8.1,40222593000002b8
122777,11吴中债,2012/2/1,2018/12/16,8.05,40222594000002b9
122778,11建发债,2012/2/14,2019/10/28,7.3,4022259e000002ba
122779,11株城发,2012/1/19,2021/11/10,8.36,402225b7000002bb
122780,PR长高新,2012/1/19,2017/11/22,7.3,40222587000002bc
122781,11永州债,2012/2/2,2021/12/5,8.4,402225b8000002bd
122782,11宁农债,2012/1/13,2018/11/16,7.1,40222593000002be
122783,11苏中能,2012/1/9,2018/11/15,7.05,40222593000002bf
122784,11中兴新,2011/12/14,2019/10/28,6.5,4022259e000002c0
122786,11联想债,2012/1/9,2018/10/31,5.8,40222592000002c1
122787,11赣铁债,2012/1/9,2018/9/30,7.2,40222591000002c2
122788,PR三明债,2011/9/1,2018/6/14,6.99,4022258e000002c3
122789,11象屿债,2011/8/15,2018/7/8,6.68,4022258f000002c4
122790,PR诸暨债,2011/8/12,2018/7/5,6.92,4022258f000002c5
122792,11邯郸债,2011/8/23,2018/7/1,6.78,4022258f000002c6
122794,11海城债,2012/2/13,2018/11/7,8.39,40222593000002c7
122795,PR诸城债,2011/9/7,2018/4/26,6.4,4022258c000002c8
122796,11冀投01,2011/8/5,2021/6/27,5.75,402225b2000002c9
122797,11冀投02,2011/8/5,2024/6/27,5.85,402225d6000002ca
122798,11泰矿债,2011/12/9,2018/6/22,6.75,4022258e000002cb
122799,11武国资,2011/8/8,2018/6/17,5.9,4022258e000002cc
122800,龙煤暂停,2011/8/26,2018/6/17,6.2,4022258e000002cd
122801,11焦作债,2011/7/14,2018/6/8,6.2,4022258e000002ce
122802,PR辽阳债,2011/6/30,2018/6/13,6.88,4022258e000002cf
122803,11滁州债,2012/2/13,2021/11/30,6.4,402225b7000002d0
122804,11渭南01,2011/7/29,2017/6/8,7,40222582000002d1
122805,PR大同债,2011/6/23,2017/6/1,6.5,40222582000002d2
122806,11渭南02,2011/7/29,2018/6/8,6.5,4022258e000002d3
122807,11东岭债,2011/10/26,2017/6/14,6.98,40222582000002d4
122808,PR滕州债,2011/7/12,2018/5/24,6.45,4022258d000002d5
122809,PR准国资,2011/6/23,2018/5/10,6.94,4022258d000002d6
122810,PR邹平债,2011/6/15,2018/4/27,6.98,4022258c000002d7
122811,11蒙奈伦,2011/6/23,2018/5/5,7.48,4022258d000002d8
122812,11淮北债,2011/6/14,2018/3/14,7.1,4022258b000002d9
122813,11宁交通,2011/7/22,2021/4/27,6.1,402225b0000002da
122814,PR东营债,2011/5/25,2018/4/20,6.75,4022258c000002db
122815,11广汇债,2011/6/9,2017/4/19,6.83,40222580000002dc
122816,11高密债,2011/7/1,2018/4/8,6.98,4022258c000002dd
122817,11三门峡,2011/5/20,2018/4/25,6.9,4022258c000002de
122818,11牟平债,2011/5/27,2019/3/4,8.05,40222597000002df
122819,11常城建,2011/6/22,2018/4/25,6.17,4022258c000002e0
122820,11潍东方,2011/5/11,2018/4/12,6.97,4022258c000002e1
122821,11吉城建,2011/6/9,2018/3/3,7.1,4022258b000002e2
122822,PR汉中债,2011/4/20,2018/3/14,7.48,4022258b000002e3
122823,11舟山债,2011/6/8,2018/4/20,6.2,4022258c000002e4
122824,11中煤建,2011/3/29,2018/3/15,6.5,4022258b000002e5
122825,PR景德镇,2011/4/26,2018/3/23,7.48,4022258b000002e6
122826,11北港债,2011/5/12,2017/3/30,6.01,4022257f000002e7
122827,11新奥债,2011/3/25,2018/2/16,6.45,4022258a000002e8
122828,11抚州债,2011/4/26,2018/2/28,7.75,4022258a000002e9
122829,万基暂停,2011/11/29,2018/8/24,7.55,40222590000002ea
122830,11沈国资,2011/4/18,2019/3/16,7.18,40222597000002eb
122831,PR惠通债,2011/4/19,2018/3/14,7.49,4022258b000002ec
122832,PR泰山债,2011/3/18,2018/3/2,5.79,4022258b000002ed
122833,11赣城债,2011/6/29,2018/4/22,6.26,4022258c000002ee
122834,11牡国投,2011/3/21,2018/2/15,7.15,4022258a000002ef
122835,11兴泸债,2011/4/13,2021/3/1,6.39,402225af000002f0
122836,PR盘锦投,2011/3/18,2018/3/1,7.42,4022258b000002f1
122837,11武经发,2011/5/26,2018/2/24,6.55,4022258a000002f2
122838,11吉利债,2011/9/15,2018/6/21,6.4,4022258e000002f3
122839,11鑫泰债,2011/6/8,2018/2/23,6.78,4022258a000002f4
122840,11临汾债,2011/3/14,2019/2/22,7.23,40222596000002f5
122841,PR渝津债,2011/3/8,2018/1/6,6.95,40222589000002f6
122842,PR合城债,2011/3/8,2018/1/6,6.95,40222589000002f7
122843,11绥化债,2011/3/25,2018/2/28,7.35,4022258a000002f8
122844,11筑城投,2011/2/17,2018/1/12,6.4,40222589000002f9
122845,11横店债,2011/3/17,2021/1/27,6.3,402225ad000002fa
122846,11渝富债,2011/3/9,2018/2/22,6.33,4022258a000002fb
122847,甬交暂停,2011/4/25,2021/2/10,6.3,402225ae000002fc
122848,10桂林债,2011/3/23,2017/12/28,6.78,40222588000002fd
122849,11新余债,2011/2/1,2018/1/11,6.5,40222589000002fe
122850,11华泰债,2011/3/23,2018/3/2,6.38,4022258b000002ff
122851,10玉溪01,2011/4/13,2016/12/28,6.8,4022257c00000300
122852,10玉溪02,2011/4/13,2017/12/28,6.78,4022258800000301
122854,11中汇债,2011/6/27,2018/3/23,6.18,4022258b00000302
122855,11渝轻纺,2011/3/4,2018/1/12,6.48,4022258900000303
122856,11株高科,2011/9/8,2018/8/18,7.82,4022259000000304
122857,PR九华债,2011/2/23,2016/12/16,6.93,4022257c00000305
122858,10盐城01,2011/2/15,2016/12/16,6.8,4022257c00000306
122859,10盐城02,2011/2/15,2017/12/16,6.6,4022258800000307
122860,10龙源债,2010/12/30,2017/2/9,4.8,4022257e00000308
122861,09陕煤化,2010/12/31,2017/12/17,5.45,4022258800000309
122862,10闽能源,2010/12/29,2017/12/2,5.1,402225880000030a
122863,10榆城投,2011/1/19,2017/12/28,7.2,402225880000030b
122864,11外滩债,2011/4/18,2018/3/11,6.2,4022258b0000030c
122865,10苏海发,2010/12/31,2017/9/28,5.55,402225850000030d
122866,10杭交投,2010/12/31,2020/10/19,5.12,402225aa0000030e
122867,11石城投,2011/4/28,2021/3/9,6.55,402225af0000030f
122868,ST沈煤债,2011/2/15,2017/12/21,6.75,4022258800000310
122869,10沪化工,2010/12/22,2017/10/22,5.3,4022258600000311
122870,PR渝大晟,2010/12/15,2017/6/2,6.78,4022258200000312
122871,10镇交投,2010/12/17,2017/10/18,8.58,4022258600000313
122872,10复星债,2011/2/15,2017/12/24,6,4022258800000314
122873,10通经开,2010/12/22,2017/12/8,6.26,4022258800000315
122874,10红投01,2010/12/27,2016/12/9,6.65,4022257c00000316
122875,10红投02,2010/12/27,2017/12/9,6.95,4022258800000317
122876,11海控债,2011/3/14,2018/1/20,5.8,4022258900000318
122877,PR渝南岸,2011/1/18,2017/12/24,6.29,4022258800000319
122879,10天脊债,2010/12/21,2017/11/25,7.2,402225870000031a
122880,天业暂停,2010/11/19,2016/10/25,5.97,4022257a0000031b
122881,10吴江债,2010/12/31,2018/12/23,6.4,402225940000031c
