挂牌代码,债券全称,上市日期,到期日期,票面利率,UK
122125,11美兰债,2012/4/20,2019/3/15,7.8,402225970000005c
122126,11庞大02,2012/4/27,2017/3/1,8.5,4022257f0000005d
122127,11欧亚债,2012/4/11,2019/3/21,7,402225970000005e
122131,11片仔癀,2012/4/19,2017/3/15,5.7,4022257f0000005f
122132,12鹏博债,2012/4/27,2017/3/12,7.5,4022257f00000060
122133,11柳化债,2012/4/16,2019/3/27,7,4022259700000061
122134,11华微债,2012/4/27,2019/4/10,8,4022259800000062
122135,12宝泰隆,2012/4/27,2017/4/11,7.3,4022258000000063
122136,11复星债,2012/5/29,2017/4/25,5.53,4022258000000064
122138,11桂东01,2012/5/22,2019/4/16,6.3,4022259800000065
122139,11洪水业,2012/5/18,2017/5/2,5.88,4022258100000066
122141,12天士01,2012/5/22,2017/4/24,6,4022258000000067
122142,11鹿港债,2012/5/23,2017/4/23,7.75,4022258000000068
122143,12亿利01,2012/6/15,2020/4/23,7.3,402225a400000069
122144,12鲁信债,2012/5/18,2017/4/25,6.5,402225800000006a
122145,11桂东02,2012/7/16,2019/6/20,5.3,4022259a0000006b
122146,12华新01,2012/6/7,2017/5/17,5.35,402225810000006c
122147,12华新02,2012/6/7,2019/5/17,5.65,402225990000006d
122148,11吉高速,2012/7/11,2019/6/21,5.5,4022259a0000006e
122149,12石化01,2012/6/13,2017/6/1,4.26,402225820000006f
122150,12石化02,2012/6/13,2022/6/1,4.9,402225be00000070
122151,12国电01,2012/7/9,2017/6/15,4.35,4022258200000071
122152,12国电02,2012/7/9,2019/6/15,4.75,4022259a00000072
122154,12京能02,2012/7/20,2017/7/3,4.6,4022258300000073
122155,12天富债,2012/7/9,2017/6/6,5.5,4022258200000074
122156,12厦工债,2012/7/19,2017/6/18,5,4022258200000075
122157,12广控01,2012/7/24,2019/6/25,4.74,4022259a00000076
122158,12西钢债,2012/8/21,2020/7/16,5.5,402225a700000077
122159,12亿利02,2012/8/22,2020/7/19,6.42,402225a700000078
122162,12中孚债,2012/9/14,2017/8/28,8,4022258400000079
122163,12鄂资债,2012/9/13,2017/8/30,6.2,402225840000007a
122164,12通威发,2012/12/27,2017/10/24,5.98,402225860000007b
122166,12国电04,2012/8/13,2017/7/23,4.35,402225830000007c
122167,12兖煤01,2012/8/15,2017/7/23,4.2,402225830000007d
122168,12兖煤02,2012/8/15,2022/7/23,4.95,402225bf0000007e
