期货合约,UK
sn2212,404a25c400000006
au2212,404a25c400000007
ag2212,404a25c400000008
rb2212,404a25c400000009
wr2212,404a25c40000000a
hc2212,404a25c40000000b
fu2212,404a25c40000000c
bu2212,404a25c40000000d
ru2212,404a25c40000000e
cu2301,404a25c500000001
al2301,404a25c500000002
zn2301,404a25c500000003
pb2301,404a25c500000004
ni2301,404a25c500000005
sn2301,404a25c500000006
au2301,404a25c500000007
ag2301,404a25c500000008
rb2301,404a25c500000009
wr2301,404a25c50000000a
hc2301,404a25c50000000b
fu2301,404a25c50000000c
bu2301,404a25c50000000d
ru2301,404a25c50000000e
cu2302,404a25c600000001
al2302,404a25c600000002
zn2302,404a25c600000003
pb2302,404a25c600000004
ni2302,404a25c600000005
sn2302,404a25c600000006
au2302,404a25c600000007
ag2302,404a25c600000008
rb2302,404a25c600000009
wr2302,404a25c60000000a
hc2302,404a25c60000000b
fu2302,404a25c60000000c
bu2302,404a25c60000000d
ru2302,404a25c60000000e
cu2303,404a25c700000001
al2303,404a25c700000002
zn2303,404a25c700000003
pb2303,404a25c700000004
ni2303,404a25c700000005
sn2303,404a25c700000006
au2303,404a25c700000007
ag2303,404a25c700000008
rb2303,404a25c700000009
wr2303,404a25c70000000a
hc2303,404a25c70000000b
fu2303,404a25c70000000c
bu2303,404a25c70000000d
ru2303,404a25c70000000e
cu2304,404a25c800000001
al2304,404a25c800000002
zn2304,404a25c800000003
pb2304,404a25c800000004
ni2304,404a25c800000005
sn2304,404a25c800000006
au2304,404a25c800000007
ag2304,404a25c800000008
rb2304,404a25c800000009
wr2304,404a25c80000000a
hc2304,404a25c80000000b
fu2304,404a25c80000000c
bu2304,404a25c80000000d
ru2304,404a25c80000000e
cu2305,404a25c900000001
al2305,404a25c900000002
zn2305,404a25c900000003
pb2305,404a25c900000004
ni2305,404a25c900000005
sn2305,404a25c900000006
au2305,404a25c900000007
ag2305,404a25c900000008
rb2305,404a25c900000009
wr2305,404a25c90000000a
hc2305,404a25c90000000b
fu2305,404a25c90000000c
bu2305,404a25c90000000d
ru2305,404a25c90000000e
cu2306,404a25ca00000001
al2306,404a25ca00000002
zn2306,404a25ca00000003
pb2306,404a25ca00000004
ni2306,404a25ca00000005
sn2306,404a25ca00000006
au2306,404a25ca00000007
ag2306,404a25ca00000008
rb2306,404a25ca00000009
wr2306,404a25ca0000000a
hc2306,404a25ca0000000b
fu2306,404a25ca0000000c
bu2306,404a25ca0000000d
ru2306,404a25ca0000000e
cu2307,404a25cb00000001
al2307,404a25cb00000002
zn2307,404a25cb00000003
pb2307,404a25cb00000004
ni2307,404a25cb00000005
sn2307,404a25cb00000006
au2307,404a25cb00000007
ag2307,404a25cb00000008
rb2307,404a25cb00000009
wr2307,404a25cb0000000a
hc2307,404a25cb0000000b
fu2307,404a25cb0000000c
bu2307,404a25cb0000000d
ru2307,404a25cb0000000e
cu2308,404a25cc00000001
al2308,404a25cc00000002
zn2308,404a25cc00000003
pb2308,404a25cc00000004
ni2308,404a25cc00000005
sn2308,404a25cc00000006
au2308,404a25cc00000007
ag2308,404a25cc00000008
rb2308,404a25cc00000009
wr2308,404a25cc0000000a
hc2308,404a25cc0000000b
fu2308,404a25cc0000000c
bu2308,404a25cc0000000d
ru2308,404a25cc0000000e
cu2309,404a25cd00000001
al2309,404a25cd00000002
zn2309,404a25cd00000003
pb2309,404a25cd00000004
ni2309,404a25cd00000005
sn2309,404a25cd00000006
au2309,404a25cd00000007
ag2309,404a25cd00000008
rb2309,404a25cd00000009
wr2309,404a25cd0000000a
hc2309,404a25cd0000000b
fu2309,404a25cd0000000c
bu2309,404a25cd0000000d
ru2309,404a25cd0000000e
cu2310,404a25ce00000001
al2310,404a25ce00000002
zn2310,404a25ce00000003
pb2310,404a25ce00000004
ni2310,404a25ce00000005
sn2310,404a25ce00000006
au2310,404a25ce00000007
ag2310,404a25ce00000008
rb2310,404a25ce00000009
wr2310,404a25ce0000000a
hc2310,404a25ce0000000b
fu2310,404a25ce0000000c
bu2310,404a25ce0000000d
ru2310,404a25ce0000000e
cu2311,404a25cf00000001
al2311,404a25cf00000002
zn2311,404a25cf00000003
pb2311,404a25cf00000004
ni2311,404a25cf00000005
sn2311,404a25cf00000006
au2311,404a25cf00000007
ag2311,404a25cf00000008
rb2311,404a25cf00000009
wr2311,404a25cf0000000a
hc2311,404a25cf0000000b
fu2311,404a25cf0000000c
bu2311,404a25cf0000000d
ru2311,404a25cf0000000e
cu2312,404a25d000000001
al2312,404a25d000000002
zn2312,404a25d000000003
pb2312,404a25d000000004
ni2312,404a25d000000005
sn2312,404a25d000000006
au2312,404a25d000000007
ag2312,404a25d000000008
rb2312,404a25d000000009
wr2312,404a25d00000000a
hc2312,404a25d00000000b
fu2312,404a25d00000000c
bu2312,404a25d00000000d
ru2312,404a25d00000000e
cu2401,404a25d100000001
al2401,404a25d100000002
zn2401,404a25d100000003
pb2401,404a25d100000004
ni2401,404a25d100000005
sn2401,404a25d100000006
au2401,404a25d100000007
ag2401,404a25d100000008
rb2401,404a25d100000009
wr2401,404a25d10000000a
hc2401,404a25d10000000b
fu2401,404a25d10000000c
bu2401,404a25d10000000d
ru2401,404a25d10000000e
cu2402,404a25d200000001
al2402,404a25d200000002
zn2402,404a25d200000003
pb2402,404a25d200000004
ni2402,404a25d200000005
sn2402,404a25d200000006
au2402,404a25d200000007
ag2402,404a25d200000008
rb2402,404a25d200000009
wr2402,404a25d20000000a
hc2402,404a25d20000000b
fu2402,404a25d20000000c
bu2402,404a25d20000000d
ru2402,404a25d20000000e
cu2403,404a25d300000001
al2403,404a25d300000002
zn2403,404a25d300000003
pb2403,404a25d300000004
ni2403,404a25d300000005
sn2403,404a25d300000006
au2403,404a25d300000007
ag2403,404a25d300000008
rb2403,404a25d300000009
wr2403,404a25d30000000a
hc2403,404a25d30000000b
fu2403,404a25d30000000c
bu2403,404a25d30000000d
ru2403,404a25d30000000e
cu2404,404a25d400000001
al2404,404a25d400000002
zn2404,404a25d400000003
pb2404,404a25d400000004
ni2404,404a25d400000005
sn2404,404a25d400000006
au2404,404a25d400000007
ag2404,404a25d400000008
rb2404,404a25d400000009
wr2404,404a25d40000000a
hc2404,404a25d40000000b
fu2404,404a25d40000000c
bu2404,404a25d40000000d
ru2404,404a25d40000000e
cu2405,404a25d500000001
al2405,404a25d500000002
zn2405,404a25d500000003
pb2405,404a25d500000004
ni2405,404a25d500000005
sn2405,404a25d500000006
au2405,404a25d500000007
ag2405,404a25d500000008
rb2405,404a25d500000009
wr2405,404a25d50000000a
hc2405,404a25d50000000b
fu2405,404a25d50000000c
bu2405,404a25d50000000d
ru2405,404a25d50000000e
cu2406,404a25d600000001
al2406,404a25d600000002
zn2406,404a25d600000003
pb2406,404a25d600000004
ni2406,404a25d600000005
sn2406,404a25d600000006
au2406,404a25d600000007
ag2406,404a25d600000008
rb2406,404a25d600000009
wr2406,404a25d60000000a
hc2406,404a25d60000000b
fu2406,404a25d60000000c
bu2406,404a25d60000000d
ru2406,404a25d60000000e
cu2407,404a25d700000001
al2407,404a25d700000002
zn2407,404a25d700000003
pb2407,404a25d700000004
ni2407,404a25d700000005
sn2407,404a25d700000006
au2407,404a25d700000007
ag2407,404a25d700000008
rb2407,404a25d700000009
wr2407,404a25d70000000a
hc2407,404a25d70000000b
fu2407,404a25d70000000c
bu2407,404a25d70000000d
ru2407,404a25d70000000e
cu2408,404a25d800000001
al2408,404a25d800000002
zn2408,404a25d800000003
pb2408,404a25d800000004
ni2408,404a25d800000005
sn2408,404a25d800000006
au2408,404a25d800000007
ag2408,404a25d800000008
rb2408,404a25d800000009
wr2408,404a25d80000000a
hc2408,404a25d80000000b
fu2408,404a25d80000000c
bu2408,404a25d80000000d
ru2408,404a25d80000000e
cu2409,404a25d900000001
al2409,404a25d900000002
zn2409,404a25d900000003
pb2409,404a25d900000004
ni2409,404a25d900000005
sn2409,404a25d900000006
au2409,404a25d900000007
ag2409,404a25d900000008
rb2409,404a25d900000009
wr2409,404a25d90000000a
hc2409,404a25d90000000b
fu2409,404a25d90000000c
bu2409,404a25d90000000d
ru2409,404a25d90000000e
cu2410,404a25da00000001
al2410,404a25da00000002
zn2410,404a25da00000003
pb2410,404a25da00000004
ni2410,404a25da00000005
sn2410,404a25da00000006
au2410,404a25da00000007
ag2410,404a25da00000008
rb2410,404a25da00000009
wr2410,404a25da0000000a
hc2410,404a25da0000000b
fu2410,404a25da0000000c
bu2410,404a25da0000000d
ru2410,404a25da0000000e
cu2411,404a25db00000001
al2411,404a25db00000002
zn2411,404a25db00000003
pb2411,404a25db00000004
ni2411,404a25db00000005
sn2411,404a25db00000006
au2411,404a25db00000007
ag2411,404a25db00000008
rb2411,404a25db00000009
wr2411,404a25db0000000a
hc2411,404a25db0000000b
fu2411,404a25db0000000c
bu2411,404a25db0000000d
ru2411,404a25db0000000e
cu2412,404a25dc00000001
al2412,404a25dc00000002
zn2412,404a25dc00000003
pb2412,404a25dc00000004
ni2412,404a25dc00000005
sn2412,404a25dc00000006
au2412,404a25dc00000007
ag2412,404a25dc00000008
rb2412,404a25dc00000009
wr2412,404a25dc0000000a
hc2412,404a25dc0000000b
fu2412,404a25dc0000000c
bu2412,404a25dc0000000d
ru2412,404a25dc0000000e
cu2501,404a25dd00000001
al2501,404a25dd00000002
zn2501,404a25dd00000003
pb2501,404a25dd00000004
ni2501,404a25dd00000005
sn2501,404a25dd00000006
au2501,404a25dd00000007
ag2501,404a25dd00000008
rb2501,404a25dd00000009
wr2501,404a25dd0000000a
hc2501,404a25dd0000000b
fu2501,404a25dd0000000c
bu2501,404a25dd0000000d
ru2501,404a25dd0000000e
cu2502,404a25de00000001
al2502,404a25de00000002
zn2502,404a25de00000003
pb2502,404a25de00000004
ni2502,404a25de00000005
sn2502,404a25de00000006
au2502,404a25de00000007
ag2502,404a25de00000008
rb2502,404a25de00000009
wr2502,404a25de0000000a
hc2502,404a25de0000000b
fu2502,404a25de0000000c
bu2502,404a25de0000000d
ru2502,404a25de0000000e
cu2503,404a25df00000001
al2503,404a25df00000002
zn2503,404a25df00000003
pb2503,404a25df00000004
ni2503,404a25df00000005
sn2503,404a25df00000006
au2503,404a25df00000007
ag2503,404a25df00000008
rb2503,404a25df00000009
wr2503,404a25df0000000a
hc2503,404a25df0000000b
fu2503,404a25df0000000c
bu2503,404a25df0000000d
ru2503,404a25df0000000e
cu2504,404a25e000000001
al2504,404a25e000000002
zn2504,404a25e000000003
pb2504,404a25e000000004
ni2504,404a25e000000005
sn2504,404a25e000000006
au2504,404a25e000000007
ag2504,404a25e000000008
rb2504,404a25e000000009
wr2504,404a25e00000000a
hc2504,404a25e00000000b
fu2504,404a25e00000000c
bu2504,404a25e00000000d
ru2504,404a25e00000000e
cu2505,404a25e100000001
al2505,404a25e100000002
zn2505,404a25e100000003
pb2505,404a25e100000004
ni2505,404a25e100000005
sn2505,404a25e100000006
au2505,404a25e100000007
ag2505,404a25e100000008
rb2505,404a25e100000009
wr2505,404a25e10000000a
hc2505,404a25e10000000b
fu2505,404a25e10000000c
bu2505,404a25e10000000d
ru2505,404a25e10000000e
cu2506,404a25e200000001
al2506,404a25e200000002
zn2506,404a25e200000003
pb2506,404a25e200000004
ni2506,404a25e200000005
sn2506,404a25e200000006
au2506,404a25e200000007
ag2506,404a25e200000008
rb2506,404a25e200000009
wr2506,404a25e20000000a
hc2506,404a25e20000000b
fu2506,404a25e20000000c
bu2506,404a25e20000000d
ru2506,404a25e20000000e
cu2507,404a25e300000001
al2507,404a25e300000002
zn2507,404a25e300000003
pb2507,404a25e300000004
ni2507,404a25e300000005
sn2507,404a25e300000006
au2507,404a25e300000007
ag2507,404a25e300000008
rb2507,404a25e300000009
wr2507,404a25e30000000a
hc2507,404a25e30000000b
fu2507,404a25e30000000c
bu2507,404a25e30000000d
ru2507,404a25e30000000e
cu2508,404a25e400000001
al2508,404a25e400000002
zn2508,404a25e400000003
pb2508,404a25e400000004
ni2508,404a25e400000005
sn2508,404a25e400000006
au2508,404a25e400000007
ag2508,404a25e400000008
rb2508,404a25e400000009
wr2508,404a25e40000000a
hc2508,404a25e40000000b
fu2508,404a25e40000000c
bu2508,404a25e40000000d
ru2508,404a25e40000000e
cu2509,404a25e500000001
al2509,404a25e500000002
zn2509,404a25e500000003
pb2509,404a25e500000004
ni2509,404a25e500000005
sn2509,404a25e500000006
au2509,404a25e500000007
ag2509,404a25e500000008
rb2509,404a25e500000009
wr2509,404a25e50000000a
hc2509,404a25e50000000b
fu2509,404a25e50000000c
bu2509,404a25e50000000d
ru2509,404a25e50000000e
cu2510,404a25e600000001
al2510,404a25e600000002
zn2510,404a25e600000003
pb2510,404a25e600000004
ni2510,404a25e600000005
sn2510,404a25e600000006
au2510,404a25e600000007
ag2510,404a25e600000008
rb2510,404a25e600000009
wr2510,404a25e60000000a
hc2510,404a25e60000000b
fu2510,404a25e60000000c
bu2510,404a25e60000000d
ru2510,404a25e60000000e
cu2511,404a25e700000001
al2511,404a25e700000002
zn2511,404a25e700000003
pb2511,404a25e700000004
ni2511,404a25e700000005
sn2511,404a25e700000006
au2511,404a25e700000007
ag2511,404a25e700000008
rb2511,404a25e700000009
wr2511,404a25e70000000a
hc2511,404a25e70000000b
fu2511,404a25e70000000c
bu2511,404a25e70000000d
ru2511,404a25e70000000e
cu2512,404a25e800000001
al2512,404a25e800000002
zn2512,404a25e800000003
pb2512,404a25e800000004
ni2512,404a25e800000005
sn2512,404a25e800000006
au2512,404a25e800000007
ag2512,404a25e800000008
rb2512,404a25e800000009
wr2512,404a25e80000000a
hc2512,404a25e80000000b
fu2512,404a25e80000000c
bu2512,404a25e80000000d
ru2512,404a25e80000000e
cu2601,404a25e900000001
al2601,404a25e900000002
zn2601,404a25e900000003
pb2601,404a25e900000004
ni2601,404a25e900000005
sn2601,404a25e900000006
au2601,404a25e900000007
ag2601,404a25e900000008
rb2601,404a25e900000009
wr2601,404a25e90000000a
hc2601,404a25e90000000b
fu2601,404a25e90000000c
bu2601,404a25e90000000d
ru2601,404a25e90000000e
cu2602,404a25ea00000001
al2602,404a25ea00000002
zn2602,404a25ea00000003
pb2602,404a25ea00000004
ni2602,404a25ea00000005
sn2602,404a25ea00000006
au2602,404a25ea00000007
ag2602,404a25ea00000008
rb2602,404a25ea00000009
wr2602,404a25ea0000000a
hc2602,404a25ea0000000b
fu2602,404a25ea0000000c
bu2602,404a25ea0000000d
ru2602,404a25ea0000000e
cu2603,404a25eb00000001
al2603,404a25eb00000002
zn2603,404a25eb00000003
pb2603,404a25eb00000004
ni2603,404a25eb00000005
sn2603,404a25eb00000006
au2603,404a25eb00000007
ag2603,404a25eb00000008
rb2603,404a25eb00000009
wr2603,404a25eb0000000a
hc2603,404a25eb0000000b
fu2603,404a25eb0000000c
bu2603,404a25eb0000000d
ru2603,404a25eb0000000e
cu2604,404a25ec00000001
al2604,404a25ec00000002
zn2604,404a25ec00000003
pb2604,404a25ec00000004
ni2604,404a25ec00000005
sn2604,404a25ec00000006
au2604,404a25ec00000007
ag2604,404a25ec00000008
rb2604,404a25ec00000009
wr2604,404a25ec0000000a
hc2604,404a25ec0000000b
fu2604,404a25ec0000000c
bu2604,404a25ec0000000d
ru2604,404a25ec0000000e
cu2605,404a25ed00000001
al2605,404a25ed00000002
zn2605,404a25ed00000003
pb2605,404a25ed00000004
ni2605,404a25ed00000005
sn2605,404a25ed00000006
au2605,404a25ed00000007
ag2605,404a25ed00000008
rb2605,404a25ed00000009
wr2605,404a25ed0000000a
hc2605,404a25ed0000000b
fu2605,404a25ed0000000c
bu2605,404a25ed0000000d
ru2605,404a25ed0000000e
cu2606,404a25ee00000001
al2606,404a25ee00000002
zn2606,404a25ee00000003
pb2606,404a25ee00000004
ni2606,404a25ee00000005
sn2606,404a25ee00000006
au2606,404a25ee00000007
ag2606,404a25ee00000008
rb2606,404a25ee00000009
wr2606,404a25ee0000000a
hc2606,404a25ee0000000b
fu2606,404a25ee0000000c
bu2606,404a25ee0000000d
ru2606,404a25ee0000000e
cu2607,404a25ef00000001
al2607,404a25ef00000002
zn2607,404a25ef00000003
pb2607,404a25ef00000004
ni2607,404a25ef00000005
sn2607,404a25ef00000006
au2607,404a25ef00000007
ag2607,404a25ef00000008
rb2607,404a25ef00000009
wr2607,404a25ef0000000a
hc2607,404a25ef0000000b
fu2607,404a25ef0000000c
bu2607,404a25ef0000000d
ru2607,404a25ef0000000e
