期货合约,UK
zn1802,404a258a00000003
pb1802,404a258a00000004
ni1802,404a258a00000005
sn1802,404a258a00000006
au1802,404a258a00000007
ag1802,404a258a00000008
rb1802,404a258a00000009
wr1802,404a258a0000000a
hc1802,404a258a0000000b
fu1802,404a258a0000000c
bu1802,404a258a0000000d
ru1802,404a258a0000000e
cu1803,404a258b00000001
al1803,404a258b00000002
zn1803,404a258b00000003
pb1803,404a258b00000004
ni1803,404a258b00000005
sn1803,404a258b00000006
au1803,404a258b00000007
ag1803,404a258b00000008
rb1803,404a258b00000009
wr1803,404a258b0000000a
hc1803,404a258b0000000b
fu1803,404a258b0000000c
bu1803,404a258b0000000d
ru1803,404a258b0000000e
cu1804,404a258c00000001
al1804,404a258c00000002
zn1804,404a258c00000003
pb1804,404a258c00000004
ni1804,404a258c00000005
sn1804,404a258c00000006
au1804,404a258c00000007
ag1804,404a258c00000008
rb1804,404a258c00000009
wr1804,404a258c0000000a
hc1804,404a258c0000000b
fu1804,404a258c0000000c
bu1804,404a258c0000000d
ru1804,404a258c0000000e
cu1805,404a258d00000001
al1805,404a258d00000002
zn1805,404a258d00000003
pb1805,404a258d00000004
ni1805,404a258d00000005
sn1805,404a258d00000006
au1805,404a258d00000007
ag1805,404a258d00000008
rb1805,404a258d00000009
wr1805,404a258d0000000a
hc1805,404a258d0000000b
fu1805,404a258d0000000c
bu1805,404a258d0000000d
ru1805,404a258d0000000e
cu1806,404a258e00000001
al1806,404a258e00000002
zn1806,404a258e00000003
pb1806,404a258e00000004
ni1806,404a258e00000005
sn1806,404a258e00000006
au1806,404a258e00000007
ag1806,404a258e00000008
rb1806,404a258e00000009
wr1806,404a258e0000000a
hc1806,404a258e0000000b
fu1806,404a258e0000000c
bu1806,404a258e0000000d
ru1806,404a258e0000000e
cu1807,404a258f00000001
al1807,404a258f00000002
zn1807,404a258f00000003
pb1807,404a258f00000004
ni1807,404a258f00000005
sn1807,404a258f00000006
au1807,404a258f00000007
ag1807,404a258f00000008
rb1807,404a258f00000009
wr1807,404a258f0000000a
hc1807,404a258f0000000b
fu1807,404a258f0000000c
bu1807,404a258f0000000d
ru1807,404a258f0000000e
cu1808,404a259000000001
al1808,404a259000000002
zn1808,404a259000000003
pb1808,404a259000000004
ni1808,404a259000000005
sn1808,404a259000000006
au1808,404a259000000007
ag1808,404a259000000008
rb1808,404a259000000009
wr1808,404a25900000000a
hc1808,404a25900000000b
fu1808,404a25900000000c
bu1808,404a25900000000d
ru1808,404a25900000000e
cu1809,404a259100000001
al1809,404a259100000002
zn1809,404a259100000003
pb1809,404a259100000004
ni1809,404a259100000005
sn1809,404a259100000006
au1809,404a259100000007
ag1809,404a259100000008
rb1809,404a259100000009
wr1809,404a25910000000a
hc1809,404a25910000000b
fu1809,404a25910000000c
bu1809,404a25910000000d
ru1809,404a25910000000e
cu1810,404a259200000001
al1810,404a259200000002
zn1810,404a259200000003
pb1810,404a259200000004
ni1810,404a259200000005
sn1810,404a259200000006
au1810,404a259200000007
ag1810,404a259200000008
rb1810,404a259200000009
wr1810,404a25920000000a
hc1810,404a25920000000b
fu1810,404a25920000000c
bu1810,404a25920000000d
ru1810,404a25920000000e
cu1811,404a259300000001
al1811,404a259300000002
zn1811,404a259300000003
pb1811,404a259300000004
ni1811,404a259300000005
sn1811,404a259300000006
au1811,404a259300000007
ag1811,404a259300000008
rb1811,404a259300000009
wr1811,404a25930000000a
hc1811,404a25930000000b
fu1811,404a25930000000c
bu1811,404a25930000000d
ru1811,404a25930000000e
cu1812,404a259400000001
al1812,404a259400000002
zn1812,404a259400000003
pb1812,404a259400000004
ni1812,404a259400000005
sn1812,404a259400000006
au1812,404a259400000007
ag1812,404a259400000008
rb1812,404a259400000009
wr1812,404a25940000000a
hc1812,404a25940000000b
fu1812,404a25940000000c
bu1812,404a25940000000d
ru1812,404a25940000000e
cu1901,404a259500000001
al1901,404a259500000002
zn1901,404a259500000003
pb1901,404a259500000004
ni1901,404a259500000005
sn1901,404a259500000006
au1901,404a259500000007
ag1901,404a259500000008
rb1901,404a259500000009
wr1901,404a25950000000a
hc1901,404a25950000000b
fu1901,404a25950000000c
bu1901,404a25950000000d
ru1901,404a25950000000e
cu1902,404a259600000001
al1902,404a259600000002
zn1902,404a259600000003
pb1902,404a259600000004
ni1902,404a259600000005
sn1902,404a259600000006
au1902,404a259600000007
ag1902,404a259600000008
rb1902,404a259600000009
wr1902,404a25960000000a
hc1902,404a25960000000b
fu1902,404a25960000000c
bu1902,404a25960000000d
ru1902,404a25960000000e
cu1903,404a259700000001
al1903,404a259700000002
zn1903,404a259700000003
pb1903,404a259700000004
ni1903,404a259700000005
sn1903,404a259700000006
au1903,404a259700000007
ag1903,404a259700000008
rb1903,404a259700000009
wr1903,404a25970000000a
hc1903,404a25970000000b
fu1903,404a25970000000c
bu1903,404a25970000000d
ru1903,404a25970000000e
cu1904,404a259800000001
al1904,404a259800000002
zn1904,404a259800000003
pb1904,404a259800000004
ni1904,404a259800000005
sn1904,404a259800000006
au1904,404a259800000007
ag1904,404a259800000008
rb1904,404a259800000009
wr1904,404a25980000000a
hc1904,404a25980000000b
fu1904,404a25980000000c
bu1904,404a25980000000d
ru1904,404a25980000000e
cu1905,404a259900000001
al1905,404a259900000002
zn1905,404a259900000003
pb1905,404a259900000004
ni1905,404a259900000005
sn1905,404a259900000006
au1905,404a259900000007
ag1905,404a259900000008
rb1905,404a259900000009
wr1905,404a25990000000a
hc1905,404a25990000000b
fu1905,404a25990000000c
bu1905,404a25990000000d
ru1905,404a25990000000e
cu1906,404a259a00000001
al1906,404a259a00000002
zn1906,404a259a00000003
pb1906,404a259a00000004
ni1906,404a259a00000005
sn1906,404a259a00000006
au1906,404a259a00000007
ag1906,404a259a00000008
rb1906,404a259a00000009
wr1906,404a259a0000000a
hc1906,404a259a0000000b
fu1906,404a259a0000000c
bu1906,404a259a0000000d
ru1906,404a259a0000000e
cu1907,404a259b00000001
al1907,404a259b00000002
zn1907,404a259b00000003
pb1907,404a259b00000004
ni1907,404a259b00000005
sn1907,404a259b00000006
au1907,404a259b00000007
ag1907,404a259b00000008
rb1907,404a259b00000009
wr1907,404a259b0000000a
hc1907,404a259b0000000b
fu1907,404a259b0000000c
bu1907,404a259b0000000d
ru1907,404a259b0000000e
cu1908,404a259c00000001
al1908,404a259c00000002
zn1908,404a259c00000003
pb1908,404a259c00000004
ni1908,404a259c00000005
sn1908,404a259c00000006
au1908,404a259c00000007
ag1908,404a259c00000008
rb1908,404a259c00000009
