地方债简称,地方债代码,到期日,UK
地债1104,109064,2016/8/9,40125578000000d5
地债1106,109066,2016/8/30,40125578000000d6
地债1108,109068,2016/10/25,4012557a000000d7
上海1102,109070,2016/11/16,4012557b000000d8
广东1102,109072,2016/11/21,4012557b000000d9
浙江1102,109074,2016/11/22,4012557b000000da
深圳1102,109076,2016/11/28,4012557b000000db
地债1202,109078,2017/7/2,40125583000000dc
地债1204,109080,2017/7/17,40125583000000dd
地债1206,109082,2017/7/31,40125583000000de
地债1208,109084,2017/8/20,40125584000000df
上海1201,109085,2017/8/24,4.01256E+13
上海1202,109086,2019/8/24,4012559c000000e1
广东1201,109087,2017/9/7,4.01256E+15
广东1202,109088,2019/9/7,4012559d000000e3
地债1210,109090,2017/9/17,4.01256E+17
浙江1201,109091,2017/9/24,4.01256E+18
浙江1202,109092,2019/9/24,4012559d000000e6
深圳1201,109093,2017/10/15,4.01256E+20
深圳1202,109094,2019/10/15,4012559e000000e8
地债1302,109096,2018/6/17,4012558e000000e9
地债1304,109098,2018/7/15,4012558f000000ea
地债1306,109100,2018/8/5,40125590000000eb
地债1307,109101,2016/8/20,40125578000000ec
地债1308,109102,2018/8/20,40125590000000ed
山东1301,109103,2018/8/26,40125590000000ee
山东1302,109104,2020/8/26,401255a8000000ef
地债1309,109105,2016/9/3,40125579000000f0
上海1301,109106,2018/9/9,40125591000000f1
上海1302,109107,2020/9/9,401255a9000000f2
地债1310,109108,2018/9/10,40125591000000f3
广东1301,109109,2018/9/17,40125591000000f4
广东1302,109110,2020/9/17,401255a9000000f5
江苏1301,109111,2018/10/11,40125592000000f6
江苏1302,109112,2020/10/11,401255aa000000f7
地债1311,109113,2016/10/15,4012557a000000f8
地债1312,109114,2018/10/22,40125592000000f9
浙江1301,109115,2018/10/28,40125592000000fa
浙江1302,109116,2020/10/28,401255aa000000fb
深圳1301,109117,2018/11/11,40125593000000fc
深圳1302,109118,2020/11/11,401255ab000000fd
地债1401,109119,2017/6/16,40125582000000fe
地债1402,109120,2019/6/16,4012559a000000ff
