企业债简称,企业债代码,到期日,UK
12久联债,112171,2020/4/24,401225a400000089
13普邦债,112172,2018/5/10,4012258d0000008a
12南港债,112173,2018/4/26,4012258c0000008b
13广田01,112174,2018/4/25,4012258c0000008c
13三九01,112175,2018/5/9,4012258d0000008d
13围海债,112177,2018/5/27,4012258d0000008e
13南洋债,112179,2020/5/30,401225a50000008f
12奥飞债,112180,2018/6/7,4012258e00000090
13广发01,112181,2018/6/17,4012258e00000091
13广发02,112182,2018/6/17,4012258e00000092
13广发03,112183,2023/6/17,401225ca00000093
13嘉寓债,112184,2018/6/27,4012258e00000094
13国元01,112186,2018/7/24,4012258f00000095
13国元02,112187,2018/7/24,4012258f00000096
13渤租债,112188,2018/8/15,4012259000000097
12瑞泽债,112189,2018/9/18,4012259100000098
11亚迪02,112190,2018/9/23,4012259100000099
13赤湾01,112192,2018/10/18,401225920000009a
13美邦01,112193,2018/10/25,401225920000009b
13东北01,112194,2018/11/12,401225930000009c
13东北02,112195,2018/11/12,401225930000009d
13苏宁债,112196,2019/11/13,4012259f0000009e
13山证01,112197,2016/11/13,4012257b0000009f
14欧菲债,112198,2017/2/24,4012257e000000a0
14铁岭债,112199,2019/3/6,40122597000000a1
14三聚债,112200,2019/3/11,40122597000000a2
14机电01,112201,2019/3/25,40122597000000a3
14嘉杰债,112202,2019/3/19,40122597000000a4
14北农债,112203,2019/4/8,40122598000000a5
14好想债,112204,2019/4/24,40122598000000a6
14翰宇01,112205,2019/4/25,40122598000000a7
14锦龙债,112207,2017/6/17,40122582000000a8
14华邦01,112208,2019/6/13,4012259a000000a9
14雏鹰债,112209,2019/6/26,4012259a000000aa
14金禾债,112210,2017/6/30,40122582000000ab
14搜特01,112211,2019/7/2,4012259b000000ac
14中山债,112212,2017/7/3,40122583000000ad
14中超债,112213,2019/7/4,4012259b000000ae
14杰赛债,112214,2019/7/14,4012259b000000af
14万马01,112215,2019/7/23,4012259b000000b0
14欣旺01,112216,2019/7/29,4012259b000000b1
14东江01,112217,2019/8/1,4012259c000000b2
14山证01,112218,2017/8/4,40122584000000b3
14渝发债,112219,2019/8/12,4012259c000000b4
14福星01,112220,2019/8/26,4012259c000000b5
14万里债,112221,2019/8/26,4012259c000000b6
14荣盛债,112222,2017/8/28,40122584000000b7
14江泥01,112223,2019/9/12,4012259d000000b8
14兴蓉01,112224,2019/9/16,4012259d000000b9
14恒运01,112225,2019/9/18,4012259d000000ba
14科陆01,112226,2019/9/17,4012259d000000bb
14利源债,112227,2019/9/22,4012259d000000bc
14怡亚债,112228,2019/9/29,4012259d000000bd
14白药01,112229,2021/10/16,401225b6000000be
14司尔01,112230,2019/10/22,4012259e000000bf
14金贵债,112231,2019/11/3,4012259f000000c0
14长证债,112232,2019/11/19,4012259f000000c1
14漳发债,112233,2019/12/5,401225a0000000c2
14中弘债,112234,2018/1/6,40122589000000c3
15福星01,112235,2020/1/19,401225a1000000c4
15本钢01,112236,2018/2/5,4012258a000000c5
15辉煌01,112237,2018/3/4,4012258b000000c6
15振业债,112238,2018/3/13,4012258b000000c7
15沃尔债,112239,2018/4/13,4012258c000000c8
15华联债,112240,2022/4/1,401225bc000000c9
15广田债,112241,2020/4/9,401225a4000000ca
15岭南债,112242,2020/6/15,401225a6000000cb
15东旭债,112243,2020/5/19,401225a5000000cc
15国海债,112244,2020/5/8,401225a5000000cd
15顺鑫01,112245,2020/5/13,401225a5000000ce
