期货名称,交易代码,合约编码,uk编码
香港交易及结算所有限公司,HEX,HEX1612,410a157c00000046
利丰有限公司,LIF,LIF1612,410a157c00000047
中国电信股份有限公司,CTC,CTC1612,410a157c00000048
中国联合网络通信（香港）股份有限公司,CHU,CHU1612,410a157c00000049
中国石油天然气股份有限公司,PEC,PEC1612,410a157c0000004a
广州白云山医药集团股份有限公司,BAI,BAI1612,410a157c0000004b
中国海洋石油有限公司,CNC,CNC1612,410a157c0000004c
华能国际电力股份有限公司,HNP,HNP1612,410a157c0000004d
中国建设银行股份有限公司,CCB,CCB1612,410a157c0000004e
中国移动有限公司,CHT,CHT1612,410a157c0000004f
中国工商银行股份有限公司,ICB,ICB1612,410a157c00000050
中国交通建设股份有限公司,CCC,CCC1612,410a157c00000051
富智康集团有限公司,FIH,FIH1612,410a157c00000052
中国平安保险(集团)股份有限公司,PAI,PAI1612,410a157c00000053
中国人民财产保险股份有限公司,PIC,PIC1612,410a157c00000054
中银香港(控股)有限公司,BOC,BOC1612,410a157c00000055
中国铝业股份有限公司,ALC,ALC1612,410a157c00000056
中国人寿保险股份有限公司,CLI,CLI1612,410a157c00000057
交通银行股份有限公司,BCM,BCM1612,410a157c00000058
招商银行股份有限公司,CMB,CMB1612,410a157c00000059
中国银行股份有限公司,BCL,BCL1612,410a157c0000005a
美元兑人民币（香港期货）,CUS,CUS1612,410a157c0000005b
欧元兑人民币（香港）期货,CEU,CEU1612,410a157c0000005c
日圆对人民币（香港）期货,CJP,CJP1612,410a157c0000005d
澳元兑人民币（香港）期货,CAU,CAU1612,410a157c0000005e
人民币（香港）兑美元期货,UCN,UCN1612,410a157c0000005f
一个月港元利率期货,HB1,HB11612,410a157c00000060
三个月港元利率期货,HB3,HB31612,410a157c00000061
恒生指数期货,HIS,HIS1701,410a157d00000001
H股指数期货,HHI,HHI1701,410a157d00000002
小型恒生指数期货,MHI,MHI1701,410a157d00000003
恒生股息期货,DHS,DHS1701,410a157d00000004
恒生国企股息期货,DHH,DHH1701,410a157d00000005
恒指波幅指数期货,VHS,VHS1701,410a157d00000006
中华交易服务中国120指数期货,CHH,CHH1701,410a157d00000007
IBOVESPA期货,IBOVESPA,IBOVESPA1701,410a157d00000008
MICEX指数期货,MICEX,MICEX1701,410a157d00000009
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1701,410a157d0000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401701,410a157d0000000b
中华交易服务博彩业指数期货,GTI,GTI1701,410a157d0000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1701,410a157d0000000d
恒生中国内地银行指数期货,MBI,MBI1701,410a157d0000000e
恒生中国内地医疗保健指数期货,MCI,MCI1701,410a157d0000000f
恒生中国内地地产指数期货,MPI,MPI1701,410a157d00000010
恒生软件服务指数期货,SSI,SSI1701,410a157d00000011
保利置业集团有限公司,POL,POL1701,410a157d00000012
SOHO中国有限公司,SOH,SOH1701,410a157d00000013
国美电器,GOM,GOM1701,410a157d00000014
复星国际有限公司,FOS,FOS1701,410a157d00000015
腾讯控股有限公司,TCH,TCH1701,410a157d00000016
神州数码控股有限公司,DIG,DIG1701,410a157d00000017
中信银行股份有限公司,CTB,CTB1701,410a157d00000018
中国南方航空股份有限公司,SOA,SOA1701,410a157d00000019
阿里巴巴影业集团有限公司,ALI,ALI1701,410a157d0000001a
中国神华能源股份有限公司,CSE,CSE1701,410a157d0000001b
兖州煤业股份有限公司,YZC,YZC1701,410a157d0000001c
中国农业银行股份有限公司,ABC,ABC1701,410a157d0000001d
新华人寿保险股份有限公司,NCL,NCL1701,410a157d0000001e
中国信达资产管理股份有限公司,CDA,CDA1701,410a157d0000001f
中国宏桥集团有限公司,CHQ,CHQ1701,410a157d00000020
华南城控股有限公司,CTY,CTY1701,410a157d00000021
中国中车股份有限公司,CRR,CRR1701,410a157d00000022
中国广核电力股份有限公司,CGN,CGN1701,410a157d00000023
中国中煤能源股份有限公司,CCE,CCE1701,410a157d00000024
融创中国控股有限公司,SUN,SUN1701,410a157d00000025
中国民生银行股份有限公司,MSB,MSB1701,410a157d00000026
广州汽车集团股份有限公司,GAC,GAC1701,410a157d00000027
长城汽车股份有限公司,GWM,GWM1701,410a157d00000028
中国航空科技工业股份有限公司,AVI,AVI1701,410a157d00000029
CSOP富时中国A50 ETF,CSA,CSA1701,410a157d0000002a
iShares 安硕富时 A50 中国指數ETF,A50,A501701,410a157d0000002b
中海油田服务股份有限公司,CHO,CHO1701,410a157d0000002c
紫金矿业集团股份有限公司,ZJM,ZJM1701,410a157d0000002d
华夏沪深300指数ETF,AMC,AMC1701,410a157d0000002e
恒大地产集团有限公司,EVG,EVG1701,410a157d0000002f
金山软件有限公司,KSO,KSO1701,410a157d00000030
中信证券股份有限公司,CTS,CTS1701,410a157d00000031
海通证券股份有限公司,HAI,HAI1701,410a157d00000032
中国辉山乳业控股有限公司,HUD,HUD1701,410a157d00000033
华泰证券股份有限公司,HTS,HTS1701,410a157d00000034
长江和记实业有限公司,CKH,CKH1701,410a157d00000035
中电控股有限公司,CLP,CLP1701,410a157d00000036
香港中华煤气有限公司,HKG,HKG1701,410a157d00000037
九龙仓集团有限公司,WHL,WHL1701,410a157d00000038
汇丰控股有限公司,HKB,HKB1701,410a157d00000039
电能实业有限公司,HEH,HEH1701,410a157d0000003a
恒生银行有限公司,HSB,HSB1701,410a157d0000003b
恒基兆业地产有限公司,HLD,HLD1701,410a157d0000003c
新鸿基地产发展有限公司,SHK,SHK1701,410a157d0000003d
新世界发展有限公司,NWD,NWD1701,410a157d0000003e
太古股份有限公司'A',SWA,SWA1701,410a157d0000003f
东亚银行有限公司,BEA,BEA1701,410a157d00000040
香港铁路有限公司,MTR,MTR1701,410a157d00000041
中国中信股份有限公司,CIT,CIT1701,410a157d00000042
国泰航空有限公司,CPA,CPA1701,410a157d00000043
思捷环球控股有限公司,ESP,ESP1701,410a157d00000044
中国石油化工股份有限公司,CPC,CPC1701,410a157d00000045
香港交易及结算所有限公司,HEX,HEX1701,410a157d00000046
利丰有限公司,LIF,LIF1701,410a157d00000047
中国电信股份有限公司,CTC,CTC1701,410a157d00000048
中国联合网络通信（香港）股份有限公司,CHU,CHU1701,410a157d00000049
中国石油天然气股份有限公司,PEC,PEC1701,410a157d0000004a
广州白云山医药集团股份有限公司,BAI,BAI1701,410a157d0000004b
中国海洋石油有限公司,CNC,CNC1701,410a157d0000004c
华能国际电力股份有限公司,HNP,HNP1701,410a157d0000004d
中国建设银行股份有限公司,CCB,CCB1701,410a157d0000004e
中国移动有限公司,CHT,CHT1701,410a157d0000004f
中国工商银行股份有限公司,ICB,ICB1701,410a157d00000050
中国交通建设股份有限公司,CCC,CCC1701,410a157d00000051
富智康集团有限公司,FIH,FIH1701,410a157d00000052
中国平安保险(集团)股份有限公司,PAI,PAI1701,410a157d00000053
中国人民财产保险股份有限公司,PIC,PIC1701,410a157d00000054
中银香港(控股)有限公司,BOC,BOC1701,410a157d00000055
中国铝业股份有限公司,ALC,ALC1701,410a157d00000056
中国人寿保险股份有限公司,CLI,CLI1701,410a157d00000057
交通银行股份有限公司,BCM,BCM1701,410a157d00000058
招商银行股份有限公司,CMB,CMB1701,410a157d00000059
中国银行股份有限公司,BCL,BCL1701,410a157d0000005a
美元兑人民币（香港期货）,CUS,CUS1701,410a157d0000005b
欧元兑人民币（香港）期货,CEU,CEU1701,410a157d0000005c
日圆对人民币（香港）期货,CJP,CJP1701,410a157d0000005d
澳元兑人民币（香港）期货,CAU,CAU1701,410a157d0000005e
人民币（香港）兑美元期货,UCN,UCN1701,410a157d0000005f
一个月港元利率期货,HB1,HB11701,410a157d00000060
三个月港元利率期货,HB3,HB31701,410a157d00000061
恒生指数期货,HIS,HIS1702,410a157e00000001
H股指数期货,HHI,HHI1702,410a157e00000002
小型恒生指数期货,MHI,MHI1702,410a157e00000003
恒生股息期货,DHS,DHS1702,410a157e00000004
恒生国企股息期货,DHH,DHH1702,410a157e00000005
恒指波幅指数期货,VHS,VHS1702,410a157e00000006
中华交易服务中国120指数期货,CHH,CHH1702,410a157e00000007
IBOVESPA期货,IBOVESPA,IBOVESPA1702,410a157e00000008
MICEX指数期货,MICEX,MICEX1702,410a157e00000009
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1702,410a157e0000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401702,410a157e0000000b
中华交易服务博彩业指数期货,GTI,GTI1702,410a157e0000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1702,410a157e0000000d
恒生中国内地银行指数期货,MBI,MBI1702,410a157e0000000e
恒生中国内地医疗保健指数期货,MCI,MCI1702,410a157e0000000f
恒生中国内地地产指数期货,MPI,MPI1702,410a157e00000010
恒生软件服务指数期货,SSI,SSI1702,410a157e00000011
保利置业集团有限公司,POL,POL1702,410a157e00000012
SOHO中国有限公司,SOH,SOH1702,410a157e00000013
国美电器,GOM,GOM1702,410a157e00000014
复星国际有限公司,FOS,FOS1702,410a157e00000015
腾讯控股有限公司,TCH,TCH1702,410a157e00000016
神州数码控股有限公司,DIG,DIG1702,410a157e00000017
中信银行股份有限公司,CTB,CTB1702,410a157e00000018
中国南方航空股份有限公司,SOA,SOA1702,410a157e00000019
阿里巴巴影业集团有限公司,ALI,ALI1702,410a157e0000001a
中国神华能源股份有限公司,CSE,CSE1702,410a157e0000001b
兖州煤业股份有限公司,YZC,YZC1702,410a157e0000001c
中国农业银行股份有限公司,ABC,ABC1702,410a157e0000001d
新华人寿保险股份有限公司,NCL,NCL1702,410a157e0000001e
中国信达资产管理股份有限公司,CDA,CDA1702,410a157e0000001f
中国宏桥集团有限公司,CHQ,CHQ1702,410a157e00000020
华南城控股有限公司,CTY,CTY1702,410a157e00000021
中国中车股份有限公司,CRR,CRR1702,410a157e00000022
中国广核电力股份有限公司,CGN,CGN1702,410a157e00000023
中国中煤能源股份有限公司,CCE,CCE1702,410a157e00000024
融创中国控股有限公司,SUN,SUN1702,410a157e00000025
中国民生银行股份有限公司,MSB,MSB1702,410a157e00000026
广州汽车集团股份有限公司,GAC,GAC1702,410a157e00000027
长城汽车股份有限公司,GWM,GWM1702,410a157e00000028
中国航空科技工业股份有限公司,AVI,AVI1702,410a157e00000029
CSOP富时中国A50 ETF,CSA,CSA1702,410a157e0000002a
iShares 安硕富时 A50 中国指數ETF,A50,A501702,410a157e0000002b
中海油田服务股份有限公司,CHO,CHO1702,410a157e0000002c
紫金矿业集团股份有限公司,ZJM,ZJM1702,410a157e0000002d
华夏沪深300指数ETF,AMC,AMC1702,410a157e0000002e
恒大地产集团有限公司,EVG,EVG1702,410a157e0000002f
金山软件有限公司,KSO,KSO1702,410a157e00000030
中信证券股份有限公司,CTS,CTS1702,410a157e00000031
海通证券股份有限公司,HAI,HAI1702,410a157e00000032
中国辉山乳业控股有限公司,HUD,HUD1702,410a157e00000033
华泰证券股份有限公司,HTS,HTS1702,410a157e00000034
长江和记实业有限公司,CKH,CKH1702,410a157e00000035
中电控股有限公司,CLP,CLP1702,410a157e00000036
香港中华煤气有限公司,HKG,HKG1702,410a157e00000037
九龙仓集团有限公司,WHL,WHL1702,410a157e00000038
汇丰控股有限公司,HKB,HKB1702,410a157e00000039
电能实业有限公司,HEH,HEH1702,410a157e0000003a
恒生银行有限公司,HSB,HSB1702,410a157e0000003b
恒基兆业地产有限公司,HLD,HLD1702,410a157e0000003c
新鸿基地产发展有限公司,SHK,SHK1702,410a157e0000003d
新世界发展有限公司,NWD,NWD1702,410a157e0000003e
太古股份有限公司'A',SWA,SWA1702,410a157e0000003f
东亚银行有限公司,BEA,BEA1702,410a157e00000040
香港铁路有限公司,MTR,MTR1702,410a157e00000041
中国中信股份有限公司,CIT,CIT1702,410a157e00000042
国泰航空有限公司,CPA,CPA1702,410a157e00000043
思捷环球控股有限公司,ESP,ESP1702,410a157e00000044
中国石油化工股份有限公司,CPC,CPC1702,410a157e00000045
香港交易及结算所有限公司,HEX,HEX1702,410a157e00000046
利丰有限公司,LIF,LIF1702,410a157e00000047
中国电信股份有限公司,CTC,CTC1702,410a157e00000048
中国联合网络通信（香港）股份有限公司,CHU,CHU1702,410a157e00000049
中国石油天然气股份有限公司,PEC,PEC1702,410a157e0000004a
广州白云山医药集团股份有限公司,BAI,BAI1702,410a157e0000004b
中国海洋石油有限公司,CNC,CNC1702,410a157e0000004c
华能国际电力股份有限公司,HNP,HNP1702,410a157e0000004d
中国建设银行股份有限公司,CCB,CCB1702,410a157e0000004e
中国移动有限公司,CHT,CHT1702,410a157e0000004f
中国工商银行股份有限公司,ICB,ICB1702,410a157e00000050
中国交通建设股份有限公司,CCC,CCC1702,410a157e00000051
富智康集团有限公司,FIH,FIH1702,410a157e00000052
中国平安保险(集团)股份有限公司,PAI,PAI1702,410a157e00000053
中国人民财产保险股份有限公司,PIC,PIC1702,410a157e00000054
中银香港(控股)有限公司,BOC,BOC1702,410a157e00000055
中国铝业股份有限公司,ALC,ALC1702,410a157e00000056
中国人寿保险股份有限公司,CLI,CLI1702,410a157e00000057
交通银行股份有限公司,BCM,BCM1702,410a157e00000058
招商银行股份有限公司,CMB,CMB1702,410a157e00000059
中国银行股份有限公司,BCL,BCL1702,410a157e0000005a
美元兑人民币（香港期货）,CUS,CUS1702,410a157e0000005b
欧元兑人民币（香港）期货,CEU,CEU1702,410a157e0000005c
日圆对人民币（香港）期货,CJP,CJP1702,410a157e0000005d
澳元兑人民币（香港）期货,CAU,CAU1702,410a157e0000005e
人民币（香港）兑美元期货,UCN,UCN1702,410a157e0000005f
一个月港元利率期货,HB1,HB11702,410a157e00000060
三个月港元利率期货,HB3,HB31702,410a157e00000061
恒生指数期货,HIS,HIS1703,410a157f00000001
H股指数期货,HHI,HHI1703,410a157f00000002
小型恒生指数期货,MHI,MHI1703,410a157f00000003
恒生股息期货,DHS,DHS1703,410a157f00000004
恒生国企股息期货,DHH,DHH1703,410a157f00000005
恒指波幅指数期货,VHS,VHS1703,410a157f00000006
中华交易服务中国120指数期货,CHH,CHH1703,410a157f00000007
IBOVESPA期货,IBOVESPA,IBOVESPA1703,410a157f00000008
MICEX指数期货,MICEX,MICEX1703,410a157f00000009
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1703,410a157f0000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401703,410a157f0000000b
中华交易服务博彩业指数期货,GTI,GTI1703,410a157f0000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1703,410a157f0000000d
恒生中国内地银行指数期货,MBI,MBI1703,410a157f0000000e
恒生中国内地医疗保健指数期货,MCI,MCI1703,410a157f0000000f
恒生中国内地地产指数期货,MPI,MPI1703,410a157f00000010
恒生软件服务指数期货,SSI,SSI1703,410a157f00000011
保利置业集团有限公司,POL,POL1703,410a157f00000012
SOHO中国有限公司,SOH,SOH1703,410a157f00000013
国美电器,GOM,GOM1703,410a157f00000014
复星国际有限公司,FOS,FOS1703,410a157f00000015
腾讯控股有限公司,TCH,TCH1703,410a157f00000016
神州数码控股有限公司,DIG,DIG1703,410a157f00000017
中信银行股份有限公司,CTB,CTB1703,410a157f00000018
中国南方航空股份有限公司,SOA,SOA1703,410a157f00000019
阿里巴巴影业集团有限公司,ALI,ALI1703,410a157f0000001a
中国神华能源股份有限公司,CSE,CSE1703,410a157f0000001b
兖州煤业股份有限公司,YZC,YZC1703,410a157f0000001c
中国农业银行股份有限公司,ABC,ABC1703,410a157f0000001d
新华人寿保险股份有限公司,NCL,NCL1703,410a157f0000001e
中国信达资产管理股份有限公司,CDA,CDA1703,410a157f0000001f
中国宏桥集团有限公司,CHQ,CHQ1703,410a157f00000020
华南城控股有限公司,CTY,CTY1703,410a157f00000021
中国中车股份有限公司,CRR,CRR1703,410a157f00000022
中国广核电力股份有限公司,CGN,CGN1703,410a157f00000023
中国中煤能源股份有限公司,CCE,CCE1703,410a157f00000024
融创中国控股有限公司,SUN,SUN1703,410a157f00000025
中国民生银行股份有限公司,MSB,MSB1703,410a157f00000026
广州汽车集团股份有限公司,GAC,GAC1703,410a157f00000027
长城汽车股份有限公司,GWM,GWM1703,410a157f00000028
中国航空科技工业股份有限公司,AVI,AVI1703,410a157f00000029
CSOP富时中国A50 ETF,CSA,CSA1703,410a157f0000002a
iShares 安硕富时 A50 中国指數ETF,A50,A501703,410a157f0000002b
中海油田服务股份有限公司,CHO,CHO1703,410a157f0000002c
紫金矿业集团股份有限公司,ZJM,ZJM1703,410a157f0000002d
华夏沪深300指数ETF,AMC,AMC1703,410a157f0000002e
恒大地产集团有限公司,EVG,EVG1703,410a157f0000002f
金山软件有限公司,KSO,KSO1703,410a157f00000030
中信证券股份有限公司,CTS,CTS1703,410a157f00000031
海通证券股份有限公司,HAI,HAI1703,410a157f00000032
中国辉山乳业控股有限公司,HUD,HUD1703,410a157f00000033
华泰证券股份有限公司,HTS,HTS1703,410a157f00000034
长江和记实业有限公司,CKH,CKH1703,410a157f00000035
中电控股有限公司,CLP,CLP1703,410a157f00000036
香港中华煤气有限公司,HKG,HKG1703,410a157f00000037
九龙仓集团有限公司,WHL,WHL1703,410a157f00000038
汇丰控股有限公司,HKB,HKB1703,410a157f00000039
电能实业有限公司,HEH,HEH1703,410a157f0000003a
恒生银行有限公司,HSB,HSB1703,410a157f0000003b
恒基兆业地产有限公司,HLD,HLD1703,410a157f0000003c
新鸿基地产发展有限公司,SHK,SHK1703,410a157f0000003d
新世界发展有限公司,NWD,NWD1703,410a157f0000003e
太古股份有限公司'A',SWA,SWA1703,410a157f0000003f
东亚银行有限公司,BEA,BEA1703,410a157f00000040
香港铁路有限公司,MTR,MTR1703,410a157f00000041
中国中信股份有限公司,CIT,CIT1703,410a157f00000042
国泰航空有限公司,CPA,CPA1703,410a157f00000043
思捷环球控股有限公司,ESP,ESP1703,410a157f00000044
中国石油化工股份有限公司,CPC,CPC1703,410a157f00000045
香港交易及结算所有限公司,HEX,HEX1703,410a157f00000046
利丰有限公司,LIF,LIF1703,410a157f00000047
中国电信股份有限公司,CTC,CTC1703,410a157f00000048
中国联合网络通信（香港）股份有限公司,CHU,CHU1703,410a157f00000049
中国石油天然气股份有限公司,PEC,PEC1703,410a157f0000004a
广州白云山医药集团股份有限公司,BAI,BAI1703,410a157f0000004b
中国海洋石油有限公司,CNC,CNC1703,410a157f0000004c
华能国际电力股份有限公司,HNP,HNP1703,410a157f0000004d
中国建设银行股份有限公司,CCB,CCB1703,410a157f0000004e
中国移动有限公司,CHT,CHT1703,410a157f0000004f
中国工商银行股份有限公司,ICB,ICB1703,410a157f00000050
中国交通建设股份有限公司,CCC,CCC1703,410a157f00000051
富智康集团有限公司,FIH,FIH1703,410a157f00000052
中国平安保险(集团)股份有限公司,PAI,PAI1703,410a157f00000053
中国人民财产保险股份有限公司,PIC,PIC1703,410a157f00000054
中银香港(控股)有限公司,BOC,BOC1703,410a157f00000055
中国铝业股份有限公司,ALC,ALC1703,410a157f00000056
中国人寿保险股份有限公司,CLI,CLI1703,410a157f00000057
交通银行股份有限公司,BCM,BCM1703,410a157f00000058
招商银行股份有限公司,CMB,CMB1703,410a157f00000059
中国银行股份有限公司,BCL,BCL1703,410a157f0000005a
美元兑人民币（香港期货）,CUS,CUS1703,410a157f0000005b
欧元兑人民币（香港）期货,CEU,CEU1703,410a157f0000005c
日圆对人民币（香港）期货,CJP,CJP1703,410a157f0000005d
澳元兑人民币（香港）期货,CAU,CAU1703,410a157f0000005e
人民币（香港）兑美元期货,UCN,UCN1703,410a157f0000005f
一个月港元利率期货,HB1,HB11703,410a157f00000060
三个月港元利率期货,HB3,HB31703,410a157f00000061
恒生指数期货,HIS,HIS1704,410a158000000001
H股指数期货,HHI,HHI1704,410a158000000002
小型恒生指数期货,MHI,MHI1704,410a158000000003
恒生股息期货,DHS,DHS1704,410a158000000004
恒生国企股息期货,DHH,DHH1704,410a158000000005
恒指波幅指数期货,VHS,VHS1704,410a158000000006
中华交易服务中国120指数期货,CHH,CHH1704,410a158000000007
IBOVESPA期货,IBOVESPA,IBOVESPA1704,410a158000000008
MICEX指数期货,MICEX,MICEX1704,410a158000000009
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1704,410a15800000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401704,410a15800000000b
中华交易服务博彩业指数期货,GTI,GTI1704,410a15800000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1704,410a15800000000d
恒生中国内地银行指数期货,MBI,MBI1704,410a15800000000e
恒生中国内地医疗保健指数期货,MCI,MCI1704,410a15800000000f
恒生中国内地地产指数期货,MPI,MPI1704,410a158000000010
恒生软件服务指数期货,SSI,SSI1704,410a158000000011
保利置业集团有限公司,POL,POL1704,410a158000000012
SOHO中国有限公司,SOH,SOH1704,410a158000000013
国美电器,GOM,GOM1704,410a158000000014
复星国际有限公司,FOS,FOS1704,410a158000000015
腾讯控股有限公司,TCH,TCH1704,410a158000000016
神州数码控股有限公司,DIG,DIG1704,410a158000000017
中信银行股份有限公司,CTB,CTB1704,410a158000000018
中国南方航空股份有限公司,SOA,SOA1704,410a158000000019
阿里巴巴影业集团有限公司,ALI,ALI1704,410a15800000001a
中国神华能源股份有限公司,CSE,CSE1704,410a15800000001b
兖州煤业股份有限公司,YZC,YZC1704,410a15800000001c
中国农业银行股份有限公司,ABC,ABC1704,410a15800000001d
新华人寿保险股份有限公司,NCL,NCL1704,410a15800000001e
中国信达资产管理股份有限公司,CDA,CDA1704,410a15800000001f
中国宏桥集团有限公司,CHQ,CHQ1704,410a158000000020
华南城控股有限公司,CTY,CTY1704,410a158000000021
中国中车股份有限公司,CRR,CRR1704,410a158000000022
中国广核电力股份有限公司,CGN,CGN1704,410a158000000023
中国中煤能源股份有限公司,CCE,CCE1704,410a158000000024
融创中国控股有限公司,SUN,SUN1704,410a158000000025
中国民生银行股份有限公司,MSB,MSB1704,410a158000000026
广州汽车集团股份有限公司,GAC,GAC1704,410a158000000027
长城汽车股份有限公司,GWM,GWM1704,410a158000000028
中国航空科技工业股份有限公司,AVI,AVI1704,410a158000000029
CSOP富时中国A50 ETF,CSA,CSA1704,410a15800000002a
iShares 安硕富时 A50 中国指數ETF,A50,A501704,410a15800000002b
中海油田服务股份有限公司,CHO,CHO1704,410a15800000002c
紫金矿业集团股份有限公司,ZJM,ZJM1704,410a15800000002d
华夏沪深300指数ETF,AMC,AMC1704,410a15800000002e
恒大地产集团有限公司,EVG,EVG1704,410a15800000002f
金山软件有限公司,KSO,KSO1704,410a158000000030
中信证券股份有限公司,CTS,CTS1704,410a158000000031
海通证券股份有限公司,HAI,HAI1704,410a158000000032
中国辉山乳业控股有限公司,HUD,HUD1704,410a158000000033
华泰证券股份有限公司,HTS,HTS1704,410a158000000034
长江和记实业有限公司,CKH,CKH1704,410a158000000035
中电控股有限公司,CLP,CLP1704,410a158000000036
香港中华煤气有限公司,HKG,HKG1704,410a158000000037
九龙仓集团有限公司,WHL,WHL1704,410a158000000038
汇丰控股有限公司,HKB,HKB1704,410a158000000039
电能实业有限公司,HEH,HEH1704,410a15800000003a
恒生银行有限公司,HSB,HSB1704,410a15800000003b
恒基兆业地产有限公司,HLD,HLD1704,410a15800000003c
新鸿基地产发展有限公司,SHK,SHK1704,410a15800000003d
新世界发展有限公司,NWD,NWD1704,410a15800000003e
太古股份有限公司'A',SWA,SWA1704,410a15800000003f
东亚银行有限公司,BEA,BEA1704,410a158000000040
香港铁路有限公司,MTR,MTR1704,410a158000000041
中国中信股份有限公司,CIT,CIT1704,410a158000000042
国泰航空有限公司,CPA,CPA1704,410a158000000043
思捷环球控股有限公司,ESP,ESP1704,410a158000000044
中国石油化工股份有限公司,CPC,CPC1704,410a158000000045
香港交易及结算所有限公司,HEX,HEX1704,410a158000000046
利丰有限公司,LIF,LIF1704,410a158000000047
中国电信股份有限公司,CTC,CTC1704,410a158000000048
中国联合网络通信（香港）股份有限公司,CHU,CHU1704,410a158000000049
中国石油天然气股份有限公司,PEC,PEC1704,410a15800000004a
广州白云山医药集团股份有限公司,BAI,BAI1704,410a15800000004b
中国海洋石油有限公司,CNC,CNC1704,410a15800000004c
华能国际电力股份有限公司,HNP,HNP1704,410a15800000004d
中国建设银行股份有限公司,CCB,CCB1704,410a15800000004e
中国移动有限公司,CHT,CHT1704,410a15800000004f
中国工商银行股份有限公司,ICB,ICB1704,410a158000000050
中国交通建设股份有限公司,CCC,CCC1704,410a158000000051
富智康集团有限公司,FIH,FIH1704,410a158000000052
中国平安保险(集团)股份有限公司,PAI,PAI1704,410a158000000053
中国人民财产保险股份有限公司,PIC,PIC1704,410a158000000054
中银香港(控股)有限公司,BOC,BOC1704,410a158000000055
中国铝业股份有限公司,ALC,ALC1704,410a158000000056
中国人寿保险股份有限公司,CLI,CLI1704,410a158000000057
交通银行股份有限公司,BCM,BCM1704,410a158000000058
招商银行股份有限公司,CMB,CMB1704,410a158000000059
中国银行股份有限公司,BCL,BCL1704,410a15800000005a
美元兑人民币（香港期货）,CUS,CUS1704,410a15800000005b
欧元兑人民币（香港）期货,CEU,CEU1704,410a15800000005c
日圆对人民币（香港）期货,CJP,CJP1704,410a15800000005d
澳元兑人民币（香港）期货,CAU,CAU1704,410a15800000005e
人民币（香港）兑美元期货,UCN,UCN1704,410a15800000005f
一个月港元利率期货,HB1,HB11704,410a158000000060
三个月港元利率期货,HB3,HB31704,410a158000000061
恒生指数期货,HIS,HIS1705,410a158100000001
H股指数期货,HHI,HHI1705,410a158100000002
小型恒生指数期货,MHI,MHI1705,410a158100000003
恒生股息期货,DHS,DHS1705,410a158100000004
恒生国企股息期货,DHH,DHH1705,410a158100000005
恒指波幅指数期货,VHS,VHS1705,410a158100000006
中华交易服务中国120指数期货,CHH,CHH1705,410a158100000007
IBOVESPA期货,IBOVESPA,IBOVESPA1705,410a158100000008
MICEX指数期货,MICEX,MICEX1705,410a158100000009
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1705,410a15810000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401705,410a15810000000b
中华交易服务博彩业指数期货,GTI,GTI1705,410a15810000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1705,410a15810000000d
恒生中国内地银行指数期货,MBI,MBI1705,410a15810000000e
恒生中国内地医疗保健指数期货,MCI,MCI1705,410a15810000000f
恒生中国内地地产指数期货,MPI,MPI1705,410a158100000010
恒生软件服务指数期货,SSI,SSI1705,410a158100000011
保利置业集团有限公司,POL,POL1705,410a158100000012
SOHO中国有限公司,SOH,SOH1705,410a158100000013
国美电器,GOM,GOM1705,410a158100000014
复星国际有限公司,FOS,FOS1705,410a158100000015
腾讯控股有限公司,TCH,TCH1705,410a158100000016
神州数码控股有限公司,DIG,DIG1705,410a158100000017
中信银行股份有限公司,CTB,CTB1705,410a158100000018
中国南方航空股份有限公司,SOA,SOA1705,410a158100000019
阿里巴巴影业集团有限公司,ALI,ALI1705,410a15810000001a
中国神华能源股份有限公司,CSE,CSE1705,410a15810000001b
兖州煤业股份有限公司,YZC,YZC1705,410a15810000001c
中国农业银行股份有限公司,ABC,ABC1705,410a15810000001d
新华人寿保险股份有限公司,NCL,NCL1705,410a15810000001e
中国信达资产管理股份有限公司,CDA,CDA1705,410a15810000001f
中国宏桥集团有限公司,CHQ,CHQ1705,410a158100000020
华南城控股有限公司,CTY,CTY1705,410a158100000021
中国中车股份有限公司,CRR,CRR1705,410a158100000022
中国广核电力股份有限公司,CGN,CGN1705,410a158100000023
中国中煤能源股份有限公司,CCE,CCE1705,410a158100000024
融创中国控股有限公司,SUN,SUN1705,410a158100000025
中国民生银行股份有限公司,MSB,MSB1705,410a158100000026
