期货名称,交易代码,合约编码,uk编码
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1609,410a15790000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401609,410a15790000000b
中华交易服务博彩业指数期货,GTI,GTI1609,410a15790000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1609,410a15790000000d
恒生中国内地银行指数期货,MBI,MBI1609,410a15790000000e
恒生中国内地医疗保健指数期货,MCI,MCI1609,410a15790000000f
恒生中国内地地产指数期货,MPI,MPI1609,410a157900000010
恒生软件服务指数期货,SSI,SSI1609,410a157900000011
保利置业集团有限公司,POL,POL1609,410a157900000012
SOHO中国有限公司,SOH,SOH1609,410a157900000013
国美电器,GOM,GOM1609,410a157900000014
复星国际有限公司,FOS,FOS1609,410a157900000015
腾讯控股有限公司,TCH,TCH1609,410a157900000016
神州数码控股有限公司,DIG,DIG1609,410a157900000017
中信银行股份有限公司,CTB,CTB1609,410a157900000018
中国南方航空股份有限公司,SOA,SOA1609,410a157900000019
阿里巴巴影业集团有限公司,ALI,ALI1609,410a15790000001a
中国神华能源股份有限公司,CSE,CSE1609,410a15790000001b
兖州煤业股份有限公司,YZC,YZC1609,410a15790000001c
中国农业银行股份有限公司,ABC,ABC1609,410a15790000001d
新华人寿保险股份有限公司,NCL,NCL1609,410a15790000001e
中国信达资产管理股份有限公司,CDA,CDA1609,410a15790000001f
中国宏桥集团有限公司,CHQ,CHQ1609,410a157900000020
华南城控股有限公司,CTY,CTY1609,410a157900000021
中国中车股份有限公司,CRR,CRR1609,410a157900000022
中国广核电力股份有限公司,CGN,CGN1609,410a157900000023
中国中煤能源股份有限公司,CCE,CCE1609,410a157900000024
融创中国控股有限公司,SUN,SUN1609,410a157900000025
中国民生银行股份有限公司,MSB,MSB1609,410a157900000026
广州汽车集团股份有限公司,GAC,GAC1609,410a157900000027
长城汽车股份有限公司,GWM,GWM1609,410a157900000028
中国航空科技工业股份有限公司,AVI,AVI1609,410a157900000029
CSOP富时中国A50 ETF,CSA,CSA1609,410a15790000002a
iShares 安硕富时 A50 中国指數ETF,A50,A501609,410a15790000002b
中海油田服务股份有限公司,CHO,CHO1609,410a15790000002c
紫金矿业集团股份有限公司,ZJM,ZJM1609,410a15790000002d
华夏沪深300指数ETF,AMC,AMC1609,410a15790000002e
恒大地产集团有限公司,EVG,EVG1609,410a15790000002f
金山软件有限公司,KSO,KSO1609,410a157900000030
中信证券股份有限公司,CTS,CTS1609,410a157900000031
海通证券股份有限公司,HAI,HAI1609,410a157900000032
中国辉山乳业控股有限公司,HUD,HUD1609,410a157900000033
华泰证券股份有限公司,HTS,HTS1609,410a157900000034
长江和记实业有限公司,CKH,CKH1609,410a157900000035
中电控股有限公司,CLP,CLP1609,410a157900000036
香港中华煤气有限公司,HKG,HKG1609,410a157900000037
九龙仓集团有限公司,WHL,WHL1609,410a157900000038
汇丰控股有限公司,HKB,HKB1609,410a157900000039
电能实业有限公司,HEH,HEH1609,410a15790000003a
恒生银行有限公司,HSB,HSB1609,410a15790000003b
恒基兆业地产有限公司,HLD,HLD1609,410a15790000003c
新鸿基地产发展有限公司,SHK,SHK1609,410a15790000003d
新世界发展有限公司,NWD,NWD1609,410a15790000003e
太古股份有限公司'A',SWA,SWA1609,410a15790000003f
东亚银行有限公司,BEA,BEA1609,410a157900000040
香港铁路有限公司,MTR,MTR1609,410a157900000041
中国中信股份有限公司,CIT,CIT1609,410a157900000042
国泰航空有限公司,CPA,CPA1609,410a157900000043
思捷环球控股有限公司,ESP,ESP1609,410a157900000044
中国石油化工股份有限公司,CPC,CPC1609,410a157900000045
香港交易及结算所有限公司,HEX,HEX1609,410a157900000046
利丰有限公司,LIF,LIF1609,410a157900000047
中国电信股份有限公司,CTC,CTC1609,410a157900000048
中国联合网络通信（香港）股份有限公司,CHU,CHU1609,410a157900000049
中国石油天然气股份有限公司,PEC,PEC1609,410a15790000004a
广州白云山医药集团股份有限公司,BAI,BAI1609,410a15790000004b
