uk,股票代码,uk(16进制)
000561.SZ,烽火电子,40111000000000f9
000563.SZ,陕国投Ａ,40111000000000fb
000564.SZ,西安民生,40111000000000fc
000565.SZ,渝三峡Ａ,40111000000000fd
000566.SZ,海南海药,40111000000000fe
000567.SZ,海德股份,40111000000000ff
000568.SZ,泸州老窖,4011100000000100
000570.SZ,苏常柴Ａ,4011100000000102
000571.SZ,新大洲Ａ,4011100000000104
000572.SZ,海马汽车,4011100000000105
000573.SZ,粤宏远Ａ,4011100000000106
000576.SZ,广东甘化,4011100000000107
000581.SZ,威孚高科,4011100000000109
000582.SZ,北部湾港,401110000000010b
000584.SZ,友利控股,401110000000010d
000585.SZ,东北电气,401110000000010e
000586.SZ,汇源通信,4011100000000110
000587.SZ,金叶珠宝,4011100000000111
000589.SZ,黔轮胎Ａ,4011100000000113
000590.SZ,启迪古汉,4011100000000114
000591.SZ,太阳能,4011100000000115
000592.SZ,平潭发展,4011100000000116
000593.SZ,大通燃气,4011100000000117
000595.SZ,宝塔实业,4011100000000119
000596.SZ,古井贡酒,401110000000011a
000597.SZ,东北制药,401110000000011c
000598.SZ,兴蓉环境,401110000000011d
000599.SZ,青岛双星,401110000000011e
000600.SZ,建投能源,401110000000011f
000601.SZ,韶能股份,4011100000000120
000603.SZ,盛达矿业,4011100000000122
000605.SZ,渤海股份,4011100000000123
000606.SZ,*ST明胶,4011100000000124
000607.SZ,华媒控股,4011100000000125
000608.SZ,阳光股份,4011100000000126
000609.SZ,绵世股份,4011100000000127
000610.SZ,西安旅游,4011100000000128
000611.SZ,*ST蒙发,4011100000000129
000612.SZ,焦作万方,401110000000012a
000613.SZ,大东海A,401110000000012b
000615.SZ,湖北金环,401110000000012d
000616.SZ,海航投资,401110000000012e
000617.SZ,*ST济柴,401110000000012f
000619.SZ,海螺型材,4011100000000132
000620.SZ,新华联,4011100000000133
000622.SZ,恒立实业,4011100000000135
000623.SZ,吉林敖东,4011100000000136
000625.SZ,长安汽车,4011100000000137
000626.SZ,如意集团,4011100000000139
000627.SZ,天茂集团,401110000000013a
000628.SZ,高新发展,401110000000013b
000629.SZ,攀钢钒钛,401110000000013c
000630.SZ,铜陵有色,401110000000013e
000631.SZ,顺发恒业,4011100000000140
000632.SZ,三木集团,4011100000000141
000633.SZ,合金投资,4011100000000142
000635.SZ,英 力 特,4011100000000143
000636.SZ,风华高科,4011100000000144
000637.SZ,茂化实华,4011100000000145
000638.SZ,万方发展,4011100000000146
000639.SZ,西王食品,4011100000000147
000650.SZ,仁和药业,4011100000000148
000651.SZ,格力电器,4011100000000149
000652.SZ,泰达股份,401110000000014a
000655.SZ,金岭矿业,401110000000014c
000656.SZ,金科股份,401110000000014d
000657.SZ,中钨高新,401110000000014e
000659.SZ,*ST中富,4011100000000150
000661.SZ,长春高新,4011100000000152
000662.SZ,索芙特,4011100000000153
000663.SZ,永安林业,4011100000000154
000665.SZ,湖北广电,4011100000000155
000666.SZ,经纬纺机,4011100000000156
000667.SZ,美好集团,4011100000000158
000668.SZ,荣丰控股,4011100000000159
000669.SZ,金鸿能源,401110000000015a
000670.SZ,盈方微,401110000000015b
000671.SZ,阳 光 城,401110000000015c
000672.SZ,上峰水泥,401110000000015d
000673.SZ,当代东方,401110000000015e
000676.SZ,智度投资,4011100000000160
000677.SZ,恒天海龙,4011100000000161
000678.SZ,襄阳轴承,4011100000000162
000679.SZ,大连友谊,4011100000000163
000680.SZ,山推股份,4011100000000164
000681.SZ,视觉中国,4011100000000165
000682.SZ,东方电子,4011100000000166
000683.SZ,远兴能源,4011100000000167
000685.SZ,中山公用,4011100000000168
000686.SZ,东北证券,4011100000000169
000687.SZ,华讯方舟,401110000000016a
000688.SZ,建新矿业,401110000000016b
000690.SZ,宝新能源,401110000000016d
000691.SZ,亚太实业,401110000000016e
000692.SZ,惠天热电,401110000000016f
000693.SZ,华泽钴镍,4011100000000170
000695.SZ,滨海能源,4011100000000171
000697.SZ,炼石有色,4011100000000175
000698.SZ,沈阳化工,4011100000000176
000700.SZ,模塑科技,4011100000000178
000701.SZ,厦门信达,4011100000000179
000702.SZ,正虹科技,401110000000017a
000703.SZ,恒逸石化,401110000000017b
000705.SZ,浙江震元,401110000000017c
000707.SZ,双环科技,401110000000017d
000708.SZ,大冶特钢,401110000000017e
000709.SZ,河钢股份,401110000000017f
000710.SZ,天兴仪表,4011100000000180
000711.SZ,京蓝科技,4011100000000181
000712.SZ,锦龙股份,4011100000000182
000713.SZ,丰乐种业,4011100000000183
000715.SZ,中兴商业,4011100000000184
000716.SZ,黑芝麻,4011100000000185
000717.SZ,韶钢松山,4011100000000186
000718.SZ,苏宁环球,4011100000000187
000719.SZ,大地传媒,4011100000000188
000720.SZ,新能泰山,4011100000000189
000721.SZ,西安饮食,401110000000018a
000722.SZ,湖南发展,401110000000018b
000723.SZ,美锦能源,401110000000018c
000725.SZ,京东方Ａ,401110000000018d
000726.SZ,鲁 泰Ａ,401110000000018f
000727.SZ,华东科技,4011100000000191
000728.SZ,国元证券,4011100000000192
000729.SZ,燕京啤酒,4011100000000193
000731.SZ,四川美丰,4011100000000196
000732.SZ,泰禾集团,4011100000000197
000733.SZ,振华科技,4011100000000198
000735.SZ,罗 牛 山,4011100000000199
000736.SZ,中房地产,401110000000019a
000737.SZ,南风化工,401110000000019b
000738.SZ,中航动控,401110000000019c
000739.SZ,普洛药业,401110000000019d
000748.SZ,长城信息,401110000000019e
000750.SZ,国海证券,401110000000019f
000751.SZ,锌业股份,40111000000001a0
000752.SZ,西藏发展,40111000000001a1
000753.SZ,漳州发展,40111000000001a2
000755.SZ,山西三维,40111000000001a3
000756.SZ,新华制药,40111000000001a4
000757.SZ,浩物股份,40111000000001a6
000758.SZ,中色股份,40111000000001a7
000759.SZ,中百集团,40111000000001a8
000760.SZ,斯太尔,40111000000001a9
000761.SZ,本钢板材,40111000000001aa
000762.SZ,西藏矿业,40111000000001ac
000766.SZ,通化金马,40111000000001af
000767.SZ,漳泽电力,40111000000001b0
000768.SZ,中航飞机,40111000000001b1
000776.SZ,广发证券,40111000000001b3
000777.SZ,中核科技,40111000000001b4
000778.SZ,新兴铸管,40111000000001b5
000779.SZ,三毛派神,40111000000001b6
000780.SZ,平庄能源,40111000000001b7
000782.SZ,美达股份,40111000000001b8
000783.SZ,长江证券,40111000000001b9
000785.SZ,武汉中商,40111000000001ba
000786.SZ,北新建材,40111000000001bb
000788.SZ,北大医药,40111000000001bd
000789.SZ,万年青,40111000000001be
000790.SZ,华神集团,40111000000001bf
000791.SZ,甘肃电投,40111000000001c0
000792.SZ,盐湖股份,40111000000001c1
000793.SZ,华闻传媒,40111000000001c2
000795.SZ,英洛华,40111000000001c3
000796.SZ,凯撒旅游,40111000000001c4
000797.SZ,中国武夷,40111000000001c5
000798.SZ,中水渔业,40111000000001c6
000799.SZ,*ST酒鬼,40111000000001c7
000800.SZ,一汽轿车,40111000000001c8
000801.SZ,四川九洲,40111000000001c9
000802.SZ,北京文化,40111000000001ca
000803.SZ,金宇车城,40111000000001cb
000806.SZ,银河生物,40111000000001cd
000807.SZ,云铝股份,40111000000001ce
000809.SZ,铁岭新城,40111000000001cf
000810.SZ,创维数字,40111000000001d0
000811.SZ,烟台冰轮,40111000000001d1
000812.SZ,陕西金叶,40111000000001d2
000813.SZ,天山纺织,40111000000001d3
000815.SZ,美利纸业,40111000000001d4
000816.SZ,智慧农业,40111000000001d5
000818.SZ,方大化工,40111000000001d7
000819.SZ,岳阳兴长,40111000000001d8
000820.SZ,金城股份,40111000000001d9
000821.SZ,京山轻机,40111000000001da
000822.SZ,山东海化,40111000000001db
000823.SZ,超声电子,40111000000001dc
000825.SZ,太钢不锈,40111000000001dd
000826.SZ,启迪桑德,40111000000001de
000828.SZ,东莞控股,40111000000001e0
000829.SZ,天音控股,40111000000001e1
000830.SZ,鲁西化工,40111000000001e2
000831.SZ,*ST五稀,40111000000001e3
000833.SZ,贵糖股份,40111000000001e5
000835.SZ,长城动漫,40111000000001e6
000836.SZ,鑫茂科技,40111000000001e7
000837.SZ,秦川机床,40111000000001e8
000838.SZ,财信发展,40111000000001e9
000839.SZ,中信国安,40111000000001ea
000848.SZ,承德露露,40111000000001eb
000850.SZ,华茂股份,40111000000001ec
000851.SZ,高鸿股份,40111000000001ed
000852.SZ,石化机械,40111000000001ee
000856.SZ,*ST冀装,40111000000001ef
000858.SZ,五 粮 液,40111000000001f0
000859.SZ,国风塑业,40111000000001f1
000860.SZ,顺鑫农业,40111000000001f2
000861.SZ,海印股份,40111000000001f3
000862.SZ,银星能源,40111000000001f4
000863.SZ,三湘股份,40111000000001f5
000868.SZ,安凯客车,40111000000001f7
000869.SZ,张 裕Ａ,40111000000001f8
000875.SZ,吉电股份,40111000000001fa
000876.SZ,新 希 望,40111000000001fb
000877.SZ,天山股份,40111000000001fc
000878.SZ,云南铜业,40111000000001fd
000880.SZ,潍柴重机,40111000000001fe
000881.SZ,大连国际,40111000000001ff
000882.SZ,华联股份,4011100000000200
000883.SZ,湖北能源,4011100000000201
000885.SZ,同力水泥,4011100000000202
000886.SZ,海南高速,4011100000000203
000887.SZ,中鼎股份,4011100000000204
000888.SZ,峨眉山Ａ,4011100000000205
000889.SZ,茂业通信,4011100000000206
000890.SZ,法 尔 胜,4011100000000207
000892.SZ,星美联合,4011100000000208
000893.SZ,东凌国际,4011100000000209
000895.SZ,双汇发展,401110000000020a
000897.SZ,津滨发展,401110000000020e
000898.SZ,鞍钢股份,401110000000020f
000899.SZ,赣能股份,4011100000000212
000900.SZ,现代投资,4011100000000213
000901.SZ,航天科技,4011100000000214
000902.SZ,新洋丰,4011100000000215
000903.SZ,云内动力,4011100000000216
000905.SZ,厦门港务,4011100000000217
000906.SZ,物产中拓,4011100000000218
000908.SZ,景峰医药,4011100000000219
000909.SZ,数源科技,401110000000021a
000910.SZ,大亚科技,401110000000021b
000911.SZ,南宁糖业,401110000000021c
000912.SZ,泸天化,401110000000021d
000913.SZ,钱江摩托,401110000000021e
000915.SZ,山大华特,401110000000021f
000916.SZ,华北高速,4011100000000220
000917.SZ,电广传媒,4011100000000221
000918.SZ,嘉凯城,4011100000000222
000919.SZ,金陵药业,4011100000000223
000920.SZ,南方汇通,4011100000000224
000921.SZ,海信科龙,4011100000000225
000922.SZ,佳电股份,4011100000000227
000923.SZ,河北宣工,4011100000000228
000925.SZ,众合科技,4011100000000229
000926.SZ,福星股份,401110000000022a
000927.SZ,*ST夏利,401110000000022b
000928.SZ,中钢国际,401110000000022c
000929.SZ,兰州黄河,401110000000022d
000930.SZ,中粮生化,401110000000022e
000931.SZ,中 关 村,4011100000000230
000932.SZ,华菱钢铁,4011100000000231
